tree_id,n_dets,n_sides,gt_B1,gt_B2,gt_B3,gt_B4,pred_B1,pred_B2,pred_B3,pred_B4,err_B1,err_B2,err_B3,err_B4,naive_B1,naive_B2,naive_B3,naive_B4,abs_total_err,breaking_classes
DAMIMAS_A21B_0497,26,4,1,4,9,4,1,3,7,3,0,-1,-2,-1,2,5,13,6,4,B3
DAMIMAS_A21B_0849,19,8,1,1,4,1,3,2,5,1,2,1,1,0,5,4,9,1,4,B1
DAMIMAS_A21B_0221,25,4,2,4,7,4,2,3,5,3,0,-1,-2,-1,4,6,10,5,4,B3
DAMIMAS_A21B_0163,32,4,1,1,8,5,2,1,10,6,1,0,2,1,3,2,17,10,4,B3
DAMIMAS_A21B_0336,22,4,1,0,6,4,3,0,7,3,2,0,1,-1,5,0,12,5,4,B1
DAMIMAS_A21B_0450,25,4,1,1,7,7,2,1,5,6,1,0,-2,-1,3,1,10,11,4,B3
DAMIMAS_A21B_0361,24,4,1,1,6,5,2,1,7,3,1,0,1,-2,4,1,13,6,4,B4
DAMIMAS_A21B_0162,18,4,0,0,4,4,0,0,7,3,0,0,3,-1,0,0,12,6,4,B3
DAMIMAS_A21B_0237,20,4,1,2,3,1,2,3,5,1,1,1,2,0,3,6,9,2,4,B3
DAMIMAS_A21B_0440,23,4,0,4,8,4,0,3,6,3,0,-1,-2,-1,0,6,11,6,4,B3
DAMIMAS_A21B_0821,23,8,2,2,4,1,5,3,4,1,3,1,0,0,9,5,8,1,4,B1
LONSUM_A21A_0055,11,4,0,1,9,1,0,1,5,1,0,0,-4,0,0,1,9,1,4,B3
DAMIMAS_A21B_0291,23,4,3,5,5,3,3,4,3,2,0,-1,-2,-1,5,8,6,4,4,B3
DAMIMAS_A21B_0323,13,4,0,0,3,0,0,0,7,0,0,0,4,0,0,0,13,0,4,B3
DAMIMAS_A21B_0268,28,4,2,6,5,6,2,4,4,5,0,-2,-1,-1,4,8,7,9,4,B2
DAMIMAS_A21B_0177,24,4,0,4,10,3,0,3,7,3,0,-1,-3,0,0,6,13,5,4,B3
DAMIMAS_A21B_0293,18,3,0,2,7,4,0,1,5,3,0,-1,-2,-1,0,2,10,6,4,B3
DAMIMAS_A21B_0139,20,4,0,2,5,1,0,2,7,2,0,0,2,1,0,4,13,3,3,B3
DAMIMAS_A21B_0152,24,4,0,2,5,3,0,3,7,3,0,1,2,0,0,5,13,6,3,B3
DAMIMAS_A21B_0141,22,4,0,0,7,2,0,0,9,3,0,0,2,1,0,0,17,5,3,B3
DAMIMAS_A21B_0732,16,4,0,0,6,4,0,0,7,2,0,0,1,-2,0,0,12,4,3,B4
DAMIMAS_A21B_0759,21,4,0,0,6,5,0,0,8,4,0,0,2,-1,0,0,14,7,3,B3
DAMIMAS_A21B_0774,8,4,1,1,6,0,1,1,3,0,0,0,-3,0,1,1,6,0,3,B3
DAMIMAS_A21B_0559,9,4,0,0,0,8,0,0,0,5,0,0,0,-3,0,0,0,9,3,B4
DAMIMAS_A21B_0281,23,4,0,0,10,5,0,0,8,4,0,0,-2,-1,0,0,15,8,3,B3
DAMIMAS_A21B_0176,19,4,2,1,4,4,3,1,4,2,1,0,0,-2,5,2,8,4,3,B4
DAMIMAS_A21B_0243,22,4,1,4,3,1,2,6,3,1,1,2,0,0,3,12,6,1,3,B2
DAMIMAS_A21B_0321,21,4,2,4,6,1,3,2,6,1,1,-2,0,0,5,4,11,1,3,B2
DAMIMAS_A21B_0320,24,4,3,3,6,4,3,2,6,2,0,-1,0,-2,6,3,11,4,3,B4
DAMIMAS_A21B_0315,25,4,1,8,7,0,1,6,6,0,0,-2,-1,0,2,11,12,0,3,B2
DAMIMAS_A21B_0170,26,4,1,1,6,5,1,1,5,7,0,0,-1,2,2,2,10,12,3,B4
DAMIMAS_A21B_0234,15,4,0,0,6,5,0,0,5,3,0,0,-1,-2,0,0,10,5,3,B4
DAMIMAS_A21B_0778,9,4,0,0,5,3,0,0,3,2,0,0,-2,-1,0,0,5,4,3,B3
DAMIMAS_A21B_0708,28,4,1,2,7,4,2,2,9,4,1,0,2,0,3,3,15,7,3,B3
DAMIMAS_A21B_0656,25,4,2,0,9,5,2,0,8,3,0,0,-1,-2,4,0,15,6,3,B4
DAMIMAS_A21B_0472,23,4,0,4,6,5,0,4,4,4,0,0,-2,-1,0,7,8,8,3,B3
DAMIMAS_A21B_0334,21,4,2,0,8,4,2,0,7,2,0,0,-1,-2,4,0,13,4,3,B4
DAMIMAS_A21B_0348,23,4,2,0,4,7,3,0,4,5,1,0,0,-2,6,0,8,9,3,B4
DAMIMAS_A21B_0343,18,4,0,3,4,0,0,5,5,0,0,2,1,0,0,9,9,0,3,B2
DAMIMAS_A21B_0257,18,4,1,4,7,1,1,3,5,1,0,-1,-2,0,2,6,9,1,3,B3
DAMIMAS_A21B_0278,20,4,2,4,6,0,3,4,4,0,1,0,-2,0,5,7,8,0,3,B3
DAMIMAS_A21B_0309,18,4,1,2,4,2,3,1,4,2,2,-1,0,0,5,2,8,3,3,B1
DAMIMAS_A21B_0471,26,4,2,6,6,2,2,4,5,2,0,-2,-1,0,4,8,10,4,3,B2
DAMIMAS_A21B_0494,25,4,2,2,5,8,2,2,4,6,0,0,-1,-2,3,4,7,11,3,B4
DAMIMAS_A21B_0438,27,4,0,0,8,9,0,0,7,7,0,0,-1,-2,0,0,14,13,3,B4
DAMIMAS_A21B_0442,23,4,0,1,7,7,0,1,5,6,0,0,-2,-1,0,2,10,11,3,B3
DAMIMAS_A21B_0342,25,4,0,2,4,4,0,4,5,4,0,2,1,0,0,8,10,7,3,B2
DAMIMAS_A21B_0341,21,4,0,1,6,1,0,1,9,1,0,0,3,0,0,2,18,1,3,B3
DAMIMAS_A21B_0335,13,4,2,0,2,0,4,0,3,0,2,0,1,0,7,0,6,0,3,B1
DAMIMAS_A21B_0358,28,4,1,0,9,4,1,0,11,3,0,0,2,-1,2,0,20,6,3,B3
DAMIMAS_A21B_0395,21,4,3,7,4,0,3,5,3,0,0,-2,-1,0,6,10,5,0,3,B2
DAMIMAS_A21B_0396,25,4,3,3,6,4,3,3,5,2,0,0,-1,-2,6,5,10,4,3,B4
DAMIMAS_A21B_0133,21,4,0,0,7,2,0,0,9,2,0,0,2,0,0,0,17,4,2,B3
DAMIMAS_A21B_0073,17,4,0,1,0,10,0,1,0,8,0,0,0,-2,0,2,0,15,2,B4
DAMIMAS_A21B_0035,13,4,0,7,2,0,0,5,2,0,0,-2,0,0,0,9,4,0,2,B2
DAMIMAS_A21B_0034,16,4,0,1,3,6,0,1,3,4,0,0,0,-2,0,2,6,8,2,B4
DAMIMAS_A21B_0414,14,4,0,0,5,0,0,0,7,0,0,0,2,0,0,0,14,0,2,B3
DAMIMAS_A21B_0259,18,4,1,8,3,0,1,6,3,0,0,-2,0,0,2,11,5,0,2,B2
DAMIMAS_A21B_0151,23,4,0,1,5,4,0,1,7,4,0,0,2,0,0,2,13,8,2,B3
DAMIMAS_A21B_0449,23,4,0,2,11,1,0,2,9,1,0,0,-2,0,0,4,18,1,2,B3
DAMIMAS_A21B_0175,23,4,1,3,6,0,1,3,8,0,0,0,2,0,2,6,15,0,2,B3
DAMIMAS_A21B_0214,20,4,1,1,5,6,1,1,5,4,0,0,0,-2,2,2,9,7,2,B4
DAMIMAS_A21B_0143,19,4,0,0,7,1,0,0,9,1,0,0,2,0,0,0,17,2,2,B3
DAMIMAS_A21B_0258,17,4,0,2,7,2,0,2,5,2,0,0,-2,0,0,4,10,3,2,B3
DAMIMAS_A21B_0289,14,4,1,2,7,0,1,2,5,0,0,0,-2,0,2,3,9,0,2,B3
DAMIMAS_A21B_0318,19,4,0,0,8,4,0,0,8,2,0,0,0,-2,0,0,15,4,2,B4
DAMIMAS_A21B_0311,9,4,0,1,2,0,0,1,4,0,0,0,2,0,0,1,8,0,2,B3
DAMIMAS_A21B_0147,26,4,0,2,8,2,0,2,10,2,0,0,2,0,0,4,18,4,2,B3
DAMIMAS_A21B_0524,22,4,2,2,3,6,2,2,3,4,0,0,0,-2,4,4,6,8,2,B4
DAMIMAS_A21B_0523,23,4,2,8,3,1,2,6,3,1,0,-2,0,0,4,12,5,2,2,B2
DAMIMAS_A21B_0522,16,4,0,6,3,2,0,4,3,2,0,-2,0,0,0,8,5,3,2,B2
DAMIMAS_A21B_0624,23,4,3,1,8,2,3,1,6,2,0,0,-2,0,6,1,12,4,2,B3
DAMIMAS_A21B_0558,23,4,0,4,4,3,0,6,4,3,0,2,0,0,0,11,7,5,2,B2
DAMIMAS_A21B_0737,15,4,0,0,5,2,0,0,7,2,0,0,2,0,0,0,12,3,2,B3
DAMIMAS_A21B_0702,18,4,1,0,5,2,1,0,7,2,0,0,2,0,2,0,12,4,2,B3
DAMIMAS_A21B_0571,24,4,3,6,5,1,3,4,5,1,0,-2,0,0,6,7,9,2,2,B2
DAMIMAS_A21B_0545,23,4,1,0,9,1,1,0,11,1,0,0,2,0,2,0,20,1,2,B3
DAMIMAS_A21B_0852,14,8,2,3,0,0,2,5,0,0,0,2,0,0,4,10,0,0,2,B2
LONSUM_A21A_0003,15,4,0,0,4,6,0,0,4,4,0,0,0,-2,0,0,7,8,2,B4
LONSUM_A21A_0059,18,4,0,0,9,2,0,0,7,2,0,0,-2,0,0,0,14,4,2,B3
LONSUM_A21A_0091,16,4,0,0,10,1,0,0,8,1,0,0,-2,0,0,0,15,1,2,B3
LONSUM_A21A_0092,12,4,0,0,8,0,0,0,6,0,0,0,-2,0,0,0,12,0,2,B3
LONSUM_A21A_0096,8,3,0,0,6,0,0,0,4,0,0,0,-2,0,0,0,8,0,2,B3
LONSUM_A21A_0099,15,4,0,0,9,1,0,0,7,1,0,0,-2,0,0,0,14,1,2,B3
