tree_id,split,n_dets,naive_total,naive_B1,naive_B2,naive_B3,naive_B4,active_B1,active_B2,active_B3,active_B4,max_B3,ratio_B3_total,ratio_B4_total,ratio_B1_total,pass_selector_iter7,pass_geometric_mean_blend,pass_visibility,pass_side_coverage,pass_median3_floor,pass_density_scaled_vis
DAMIMAS_A21B_0038,val,21,21,4,0,9,8,4,0,4,4,3,0.42857142857142855,0.38095238095238093,0.19047619047619047,1,1,1,1,1,1
DAMIMAS_A21B_0039,test,15,15,3,9,3,0,3,4,2,0,2,0.2,0.0,0.2,1,1,1,1,1,1
DAMIMAS_A21B_0040,train,21,21,4,3,8,6,4,3,4,4,3,0.38095238095238093,0.2857142857142857,0.19047619047619047,1,1,1,1,1,1
DAMIMAS_A21B_0041,test,23,23,3,5,10,5,3,4,4,3,4,0.43478260869565216,0.21739130434782608,0.13043478260869565,1,1,1,1,1,1
DAMIMAS_A21B_0042,train,15,15,5,2,6,2,4,2,3,2,2,0.4,0.13333333333333333,0.3333333333333333,1,1,1,1,1,1
DAMIMAS_A21B_0043,train,23,23,3,6,14,0,2,3,4,0,4,0.6086956521739131,0.0,0.13043478260869565,1,1,1,1,1,1
DAMIMAS_A21B_0044,test,16,16,4,2,8,2,4,2,4,2,3,0.5,0.125,0.25,1,1,1,1,1,1
DAMIMAS_A21B_0045,train,29,29,2,0,20,7,2,0,4,4,6,0.6896551724137931,0.2413793103448276,0.06896551724137931,1,1,1,1,1,1
DAMIMAS_A21B_0046,test,14,14,0,0,7,7,0,0,4,4,2,0.5,0.5,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0047,val,13,13,0,3,8,2,0,3,4,2,2,0.6153846153846154,0.15384615384615385,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0048,val,18,18,0,1,12,5,0,1,4,3,4,0.6666666666666666,0.2777777777777778,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0049,train,13,13,0,0,9,4,0,0,4,4,3,0.6923076923076923,0.3076923076923077,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0050,train,15,15,4,0,7,4,4,0,4,4,2,0.4666666666666667,0.26666666666666666,0.26666666666666666,1,1,1,1,1,1
DAMIMAS_A21B_0051,train,25,25,0,2,17,6,0,2,4,4,5,0.68,0.24,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0052,train,25,25,4,5,15,1,4,3,4,1,5,0.6,0.04,0.16,1,1,1,1,1,1
DAMIMAS_A21B_0053,train,15,15,0,3,9,3,0,3,4,3,3,0.6,0.2,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0054,test,20,20,0,5,9,6,0,4,4,4,3,0.45,0.3,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0055,train,22,22,2,5,13,2,2,4,4,2,4,0.5909090909090909,0.09090909090909091,0.09090909090909091,1,1,1,1,1,1
DAMIMAS_A21B_0056,train,15,15,2,2,7,4,2,2,4,3,3,0.4666666666666667,0.26666666666666666,0.13333333333333333,1,1,1,1,1,1
DAMIMAS_A21B_0057,train,24,24,4,2,11,7,4,2,4,4,3,0.4583333333333333,0.2916666666666667,0.16666666666666666,1,1,1,1,1,1
DAMIMAS_A21B_0058,train,16,16,3,2,7,4,3,2,4,3,2,0.4375,0.25,0.1875,1,1,1,1,1,1
DAMIMAS_A21B_0059,test,10,10,3,2,5,0,3,2,4,0,2,0.5,0.0,0.3,1,1,1,1,1,1
DAMIMAS_A21B_0060,val,16,16,0,2,12,2,0,2,4,2,3,0.75,0.125,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0061,train,21,21,2,0,17,2,2,0,4,2,5,0.8095238095238095,0.09523809523809523,0.09523809523809523,1,1,1,1,1,1
DAMIMAS_A21B_0062,train,16,16,0,6,7,3,0,4,4,2,2,0.4375,0.1875,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0063,val,16,16,4,2,10,0,3,2,4,0,3,0.625,0.0,0.25,1,1,1,1,1,1
DAMIMAS_A21B_0064,train,13,13,0,3,10,0,0,3,4,0,3,0.7692307692307693,0.0,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0065,train,25,25,5,2,12,6,4,2,4,4,4,0.48,0.24,0.2,1,1,1,1,1,1
DAMIMAS_A21B_0066,train,27,27,4,4,10,9,4,4,4,4,3,0.37037037037037035,0.3333333333333333,0.14814814814814814,1,1,1,1,1,1
DAMIMAS_A21B_0067,train,25,25,7,2,13,3,4,2,4,3,5,0.52,0.12,0.28,1,1,1,1,1,1
DAMIMAS_A21B_0068,train,18,18,2,7,6,3,2,4,4,2,2,0.3333333333333333,0.16666666666666666,0.1111111111111111,1,1,1,1,1,1
DAMIMAS_A21B_0069,train,19,19,3,2,12,2,3,2,4,2,4,0.631578947368421,0.10526315789473684,0.15789473684210525,1,1,1,1,1,1
DAMIMAS_A21B_0070,train,17,17,0,0,11,6,0,0,4,4,3,0.6470588235294118,0.35294117647058826,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0071,train,18,18,2,3,13,0,2,3,4,0,4,0.7222222222222222,0.0,0.1111111111111111,1,1,1,1,1,1
DAMIMAS_A21B_0072,train,22,22,2,6,12,2,2,4,4,2,4,0.5454545454545454,0.09090909090909091,0.09090909090909091,1,1,1,1,1,1
DAMIMAS_A21B_0073,test,17,17,0,2,0,15,0,2,0,4,0,0.0,0.8823529411764706,0.0,0,0,0,0,0,0
DAMIMAS_A21B_0074,train,4,4,0,0,2,2,0,0,1,1,2,0.5,0.5,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0075,train,31,31,3,4,20,4,3,3,4,3,6,0.6451612903225806,0.12903225806451613,0.0967741935483871,1,1,1,1,1,1
DAMIMAS_A21B_0076,test,22,22,5,3,6,8,4,2,3,4,3,0.2727272727272727,0.36363636363636365,0.22727272727272727,1,1,1,1,1,1
DAMIMAS_A21B_0077,train,17,17,5,0,12,0,4,0,4,0,4,0.7058823529411765,0.0,0.29411764705882354,1,1,1,1,1,1
DAMIMAS_A21B_0078,train,21,21,2,5,12,2,2,4,4,2,4,0.5714285714285714,0.09523809523809523,0.09523809523809523,1,1,1,1,1,1
DAMIMAS_A21B_0079,train,26,26,0,7,19,0,0,4,4,0,6,0.7307692307692307,0.0,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0080,train,20,20,2,4,6,8,2,3,4,4,2,0.3,0.4,0.1,1,1,1,1,1,1
DAMIMAS_A21B_0081,train,22,22,2,5,10,5,2,3,4,4,3,0.45454545454545453,0.22727272727272727,0.09090909090909091,1,1,1,1,1,1
DAMIMAS_A21B_0082,train,13,13,0,6,6,1,0,3,4,1,2,0.46153846153846156,0.07692307692307693,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0083,train,21,21,0,5,16,0,0,3,4,0,6,0.7619047619047619,0.0,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0084,train,11,11,0,0,11,0,0,0,4,0,3,1.0,0.0,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0085,train,28,28,0,6,17,5,0,4,4,3,5,0.6071428571428571,0.17857142857142858,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0086,train,19,19,2,2,13,2,2,2,4,2,4,0.6842105263157895,0.10526315789473684,0.10526315789473684,1,1,1,1,1,1
DAMIMAS_A21B_0087,train,25,25,2,5,16,2,2,3,4,2,5,0.64,0.08,0.08,1,1,1,1,1,1
DAMIMAS_A21B_0088,test,20,20,0,8,10,2,0,4,4,2,3,0.5,0.1,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0089,test,23,23,0,2,14,7,0,2,4,4,4,0.6086956521739131,0.30434782608695654,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0090,train,10,10,0,3,5,2,0,3,3,2,2,0.5,0.2,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0091,train,20,20,0,6,14,0,0,3,4,0,4,0.7,0.0,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0092,test,22,22,0,8,8,6,0,4,4,4,3,0.36363636363636365,0.2727272727272727,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0093,train,18,18,0,0,14,4,0,0,4,3,4,0.7777777777777778,0.2222222222222222,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0094,test,27,27,2,0,14,11,2,0,4,4,4,0.5185185185185185,0.4074074074074074,0.07407407407407407,1,1,1,1,1,1
DAMIMAS_A21B_0095,train,15,15,2,8,5,0,2,4,3,0,2,0.3333333333333333,0.0,0.13333333333333333,1,1,1,1,1,1
DAMIMAS_A21B_0096,test,18,18,4,0,4,10,4,0,3,4,2,0.2222222222222222,0.5555555555555556,0.2222222222222222,1,1,1,1,1,1
DAMIMAS_A21B_0097,train,22,22,1,4,12,5,1,3,4,4,4,0.5454545454545454,0.22727272727272727,0.045454545454545456,1,1,1,1,1,1
DAMIMAS_A21B_0098,train,19,19,0,2,8,9,0,2,4,4,2,0.42105263157894735,0.47368421052631576,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0099,train,24,24,5,8,9,2,4,4,3,2,4,0.375,0.08333333333333333,0.20833333333333334,1,1,1,1,1,1
DAMIMAS_A21B_0100,val,27,27,2,4,8,13,2,4,4,4,3,0.2962962962962963,0.48148148148148145,0.07407407407407407,1,1,1,1,1,1
DAMIMAS_A21B_0101,train,15,15,2,7,6,0,2,4,4,0,2,0.4,0.0,0.13333333333333333,1,1,1,1,1,1
DAMIMAS_A21B_0102,train,18,18,0,0,16,2,0,0,4,2,5,0.8888888888888888,0.1111111111111111,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0103,val,29,29,1,8,20,0,1,4,4,0,6,0.6896551724137931,0.0,0.034482758620689655,1,1,1,1,1,1
DAMIMAS_A21B_0104,train,27,27,4,6,9,8,3,4,4,4,3,0.3333333333333333,0.2962962962962963,0.14814814814814814,1,1,1,1,1,1
DAMIMAS_A21B_0105,train,21,21,4,3,13,1,4,3,4,1,4,0.6190476190476191,0.047619047619047616,0.19047619047619047,1,1,1,1,1,1
DAMIMAS_A21B_0106,test,21,21,4,0,10,7,4,0,4,4,3,0.47619047619047616,0.3333333333333333,0.19047619047619047,1,1,1,1,1,1
DAMIMAS_A21B_0107,val,31,31,6,6,17,2,4,3,4,2,7,0.5483870967741935,0.06451612903225806,0.1935483870967742,1,1,1,1,1,1
DAMIMAS_A21B_0108,train,17,17,3,5,7,2,3,4,4,2,2,0.4117647058823529,0.11764705882352941,0.17647058823529413,1,1,1,1,1,1
DAMIMAS_A21B_0109,train,20,20,2,5,9,4,2,4,4,4,3,0.45,0.2,0.1,1,1,1,1,1,1
DAMIMAS_A21B_0110,train,8,8,0,0,3,5,0,0,3,3,1,0.375,0.625,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0111,train,24,24,0,2,16,6,0,2,4,3,4,0.6666666666666666,0.25,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0112,train,12,12,0,4,8,0,0,4,4,0,3,0.6666666666666666,0.0,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0113,train,15,15,0,2,11,2,0,2,4,2,3,0.7333333333333333,0.13333333333333333,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0114,train,9,9,0,2,7,0,0,2,4,0,2,0.7777777777777778,0.0,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0115,train,5,5,0,2,3,0,0,2,2,0,2,0.6,0.0,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0116,val,25,25,0,4,12,9,0,4,4,4,4,0.48,0.36,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0117,val,8,8,0,0,6,2,0,0,4,2,2,0.75,0.25,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0118,train,20,20,3,2,4,11,3,2,4,4,1,0.2,0.55,0.15,1,1,1,1,1,1
DAMIMAS_A21B_0119,train,19,19,5,9,5,0,4,4,3,0,2,0.2631578947368421,0.0,0.2631578947368421,1,1,1,1,1,1
DAMIMAS_A21B_0120,train,9,9,3,0,2,4,3,0,2,2,1,0.2222222222222222,0.4444444444444444,0.3333333333333333,1,1,1,1,1,1
DAMIMAS_A21B_0121,train,21,21,0,6,12,3,0,4,4,2,3,0.5714285714285714,0.14285714285714285,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0122,train,13,13,2,2,1,8,2,2,1,4,1,0.07692307692307693,0.6153846153846154,0.15384615384615385,1,1,1,1,1,1
DAMIMAS_A21B_0123,train,17,17,0,11,6,0,0,4,4,0,2,0.35294117647058826,0.0,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0124,train,20,20,0,2,14,4,0,2,4,4,4,0.7,0.2,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0125,train,20,20,2,5,11,2,2,4,4,2,4,0.55,0.1,0.1,1,1,1,1,1,1
DAMIMAS_A21B_0126,train,22,22,5,0,9,8,4,0,4,4,3,0.4090909090909091,0.36363636363636365,0.22727272727272727,1,1,1,1,1,1
DAMIMAS_A21B_0127,train,23,23,0,3,11,9,0,2,4,4,3,0.4782608695652174,0.391304347826087,0.0,1,1,1,1,1,1
