tree_id,fix_index,date,action,rule,bunches_before,bunches_after,dropped_links,actions
DAMIMAS_A21B_0366,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",7,8,"[""lnk-3""]","[{""bunch_id"": 3, ""class"": ""B3"", ""home_side"": ""sisi_2"", ""offending"": [""sisi_4""], ""isolated_nodes"": [""s4/b2""]}]"
DAMIMAS_A21B_0379,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",3,6,"[""lnk-0"", ""lnk-2"", ""lnk-3""]","[{""bunch_id"": 1, ""class"": ""B1"", ""home_side"": ""sisi_3"", ""offending"": [""sisi_1""], ""isolated_nodes"": [""s1/b0""]}, {""bunch_id"": 2, ""class"": ""B3"", ""home_side"": ""sisi_3"", ""offending"": [""sisi_1""], ""isolated_nodes"": [""s1/b1""]}]"
DAMIMAS_A21B_0388,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",7,9,"[""lnk-2"", ""lnk-5""]","[{""bunch_id"": 2, ""class"": ""B3"", ""home_side"": ""sisi_2"", ""offending"": [""sisi_4""], ""isolated_nodes"": [""s4/b2""]}, {""bunch_id"": 3, ""class"": ""B3"", ""home_side"": ""sisi_2"", ""offending"": [""sisi_4""], ""isolated_nodes"": [""s4/b1""]}]"
DAMIMAS_A21B_0414,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",5,6,"[""lnk-8""]","[{""bunch_id"": 3, ""class"": ""B3"", ""home_side"": ""sisi_3"", ""offending"": [""sisi_1""], ""isolated_nodes"": [""s1/b2""]}]"
DAMIMAS_A21B_0420,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",2,4,"[""lnk-0"", ""lnk-1""]","[{""bunch_id"": 1, ""class"": ""B3"", ""home_side"": ""sisi_4"", ""offending"": [""sisi_2""], ""isolated_nodes"": [""s2/b0""]}]"
DAMIMAS_A21B_0486,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",9,10,"[""lnk-3""]","[{""bunch_id"": 3, ""class"": ""B4"", ""home_side"": ""sisi_4"", ""offending"": [""sisi_2""], ""isolated_nodes"": [""s2/b4""]}]"
LONSUM_A21A_0024,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",2,4,"[""lnk-0"", ""lnk-1""]","[{""bunch_id"": 1, ""class"": ""B3"", ""home_side"": ""sisi_1"", ""offending"": [""sisi_3""], ""isolated_nodes"": [""s3/b1""]}]"
LONSUM_A21A_0033,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",4,6,"[""lnk-1"", ""lnk-2""]","[{""bunch_id"": 2, ""class"": ""B3"", ""home_side"": ""sisi_4"", ""offending"": [""sisi_2""], ""isolated_nodes"": [""s2/b2""]}]"
LONSUM_A21A_0048,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",6,8,"[""lnk-1"", ""lnk-2""]","[{""bunch_id"": 1, ""class"": ""B2"", ""home_side"": ""sisi_1"", ""offending"": [""sisi_3""], ""isolated_nodes"": [""s3/b0""]}]"
LONSUM_A21A_0049,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",2,4,"[""lnk-0"", ""lnk-2""]","[{""bunch_id"": 1, ""class"": ""B3"", ""home_side"": ""sisi_3"", ""offending"": [""sisi_1""], ""isolated_nodes"": [""s1/b0""]}]"
LONSUM_A21A_0050,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",9,11,"[""lnk-0"", ""lnk-5""]","[{""bunch_id"": 2, ""class"": ""B2"", ""home_side"": ""sisi_3"", ""offending"": [""sisi_1""], ""isolated_nodes"": [""s1/b1""]}, {""bunch_id"": 3, ""class"": ""B3"", ""home_side"": ""sisi_2"", ""offending"": [""sisi_4""], ""isolated_nodes"": [""s4/b5""]}]"
LONSUM_A21A_0081,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",4,6,"[""lnk-1"", ""lnk-2""]","[{""bunch_id"": 2, ""class"": ""B3"", ""home_side"": ""sisi_1"", ""offending"": [""sisi_3""], ""isolated_nodes"": [""s3/b0""]}]"
