tree_id,n_dets,n_sides,naive_B1,naive_B2,naive_B3,naive_B4,naive_total,corrected_B1,corrected_B2,corrected_B3,corrected_B4,corrected_total,visibility_B1,visibility_B2,visibility_B3,visibility_B4,visibility_total,adaptive_visibility_B1,adaptive_visibility_B2,adaptive_visibility_B3,adaptive_visibility_B4,adaptive_visibility_total,adaptive_corrected_B1,adaptive_corrected_B2,adaptive_corrected_B3,adaptive_corrected_B4,adaptive_corrected_total,v6_selector_B1,v6_selector_B2,v6_selector_B3,v6_selector_B4,v6_selector_total,stacking_density_v7_B1,stacking_density_v7_B2,stacking_density_v7_B3,stacking_density_v7_B4,stacking_density_v7_total,stacking_bracketed_v7_B1,stacking_bracketed_v7_B2,stacking_bracketed_v7_B3,stacking_bracketed_v7_B4,stacking_bracketed_v7_total,entropy_modulated_v8_B1,entropy_modulated_v8_B2,entropy_modulated_v8_B3,entropy_modulated_v8_B4,entropy_modulated_v8_total,v8_entropy_stacking_B1,v8_entropy_stacking_B2,v8_entropy_stacking_B3,v8_entropy_stacking_B4,v8_entropy_stacking_total,density_scaled_vis_B1,density_scaled_vis_B2,density_scaled_vis_B3,density_scaled_vis_B4,density_scaled_vis_total,class_aware_vis_B1,class_aware_vis_B2,class_aware_vis_B3,class_aware_vis_B4,class_aware_vis_total,side_coverage_B1,side_coverage_B2,side_coverage_B3,side_coverage_B4,side_coverage_total,hybrid_vis_corr_B1,hybrid_vis_corr_B2,hybrid_vis_corr_B3,hybrid_vis_corr_B4,hybrid_vis_corr_total,ordinal_prior_B1,ordinal_prior_B2,ordinal_prior_B3,ordinal_prior_B4,ordinal_prior_total,relaxed_match_B1,relaxed_match_B2,relaxed_match_B3,relaxed_match_B4,relaxed_match_total,best_visibility_grid_B1,best_visibility_grid_B2,best_visibility_grid_B3,best_visibility_grid_B4,best_visibility_grid_total,best_class_aware_grid_B1,best_class_aware_grid_B2,best_class_aware_grid_B3,best_class_aware_grid_B4,best_class_aware_grid_total,best_relaxed_grid_B1,best_relaxed_grid_B2,best_relaxed_grid_B3,best_relaxed_grid_B4,best_relaxed_grid_total,best_ensemble_grid_B1,best_ensemble_grid_B2,best_ensemble_grid_B3,best_ensemble_grid_B4,best_ensemble_grid_total,naive_mean_ensemble_B1,naive_mean_ensemble_B2,naive_mean_ensemble_B3,naive_mean_ensemble_B4,naive_mean_ensemble_total
DAMIMAS_A21B_0708,28,4,2,3,15,8,28,1,2,8,5,16,1,2,9,5,17,1,2,9,5,17,1,2,9,5,17,1,2,9,5,17,1,2,9,5,17,1,2,9,5,17,1,2,9,5,17,1,2,9,5,17,1,2,9,5,17,1,2,10,4,17,1,2,9,5,17,1,2,9,5,17,1,2,9,5,17,2,2,1,2,7,1,2,8,4,15,1,2,9,4,16,2,2,3,3,10,1,2,9,5,17,1,2,8,5,16
DAMIMAS_A21B_0709,27,4,4,5,14,4,27,2,3,8,2,15,2,3,8,2,15,2,3,8,2,15,2,3,8,3,16,2,3,8,3,16,2,3,8,3,16,2,3,8,3,16,2,3,8,3,16,2,3,8,3,16,2,3,8,2,15,2,3,9,2,16,2,3,8,2,15,2,3,8,2,15,2,3,8,2,15,2,2,1,2,7,2,3,8,2,15,2,3,8,2,15,2,2,1,2,7,2,3,8,2,15,2,3,7,2,14
DAMIMAS_A21B_0710,19,4,5,3,7,4,19,3,2,4,2,11,3,2,4,2,11,3,2,4,3,12,3,2,4,2,11,3,2,4,2,11,3,2,4,2,11,3,2,4,2,11,3,2,4,3,12,3,2,4,3,12,3,2,4,2,11,3,2,4,2,11,3,2,4,2,11,3,2,4,2,11,3,2,4,2,11,1,2,1,2,6,3,2,4,2,11,3,2,4,2,11,1,3,2,2,8,3,2,4,2,11,3,2,4,2,11
DAMIMAS_A21B_0711,22,4,2,5,11,4,22,1,3,6,2,12,1,3,6,2,12,1,3,7,2,13,1,3,6,2,12,1,3,6,2,12,1,3,6,2,12,1,3,6,2,12,1,3,6,3,13,1,3,6,3,13,1,3,6,2,12,1,3,7,2,13,1,3,6,2,12,1,3,6,2,12,1,3,6,2,12,1,1,1,1,4,1,3,6,2,12,1,3,6,2,12,2,1,1,2,6,1,3,6,2,12,1,3,6,2,12
DAMIMAS_A21B_0712,24,4,2,3,13,6,24,1,2,7,4,14,1,2,7,3,13,1,2,8,4,15,1,2,8,4,15,1,2,8,4,15,1,2,8,4,15,1,2,8,4,15,1,2,8,4,15,1,2,8,4,15,1,2,7,3,13,1,2,8,3,14,1,2,7,3,13,1,2,7,3,13,1,2,7,3,13,2,1,1,1,5,1,2,7,3,13,1,2,8,3,14,2,2,3,3,10,1,2,8,4,15,1,2,7,3,13
DAMIMAS_A21B_0713,18,4,2,3,9,4,18,1,2,5,2,10,1,2,5,2,10,1,2,5,2,10,1,2,5,2,10,1,2,5,2,10,1,2,5,2,10,1,2,5,2,10,1,2,5,3,11,1,2,5,3,11,1,2,5,2,10,1,2,6,2,11,1,2,5,2,10,1,2,5,2,10,1,2,5,2,10,1,1,1,2,5,1,2,5,2,10,1,2,5,2,10,1,1,3,3,8,1,2,5,2,10,1,2,5,2,10
DAMIMAS_A21B_0714,14,4,0,2,6,6,14,0,1,3,4,8,0,1,3,3,7,0,1,3,3,7,0,1,3,4,8,0,1,3,4,8,0,1,3,4,8,0,1,3,4,8,0,1,3,4,8,0,1,3,4,8,0,1,3,3,7,0,1,4,3,8,0,1,3,3,7,0,1,3,3,7,0,1,3,3,7,0,1,1,2,4,0,1,3,3,7,0,1,4,3,8,0,2,1,3,6,0,1,3,3,7,0,1,3,3,7
DAMIMAS_A21B_0715,25,4,3,4,14,4,25,2,2,8,2,14,2,2,8,2,14,2,2,8,2,14,2,2,8,3,15,2,2,8,3,15,2,2,8,2,14,2,2,8,2,14,2,3,8,3,16,2,3,8,3,16,2,2,8,2,14,2,3,9,2,16,2,2,8,2,14,2,2,8,2,14,2,1,9,2,14,1,2,1,1,5,2,2,8,2,14,2,2,8,2,14,2,2,1,1,6,2,2,8,2,14,2,2,8,2,14
DAMIMAS_A21B_0716,28,4,1,4,19,4,28,1,2,11,2,16,1,2,11,2,16,1,2,12,2,17,1,2,11,3,17,1,2,11,3,17,1,2,11,3,17,1,2,11,3,17,1,2,11,3,17,1,2,11,3,17,1,2,11,2,16,1,3,12,2,18,1,2,11,2,16,1,2,11,2,16,1,2,11,2,16,1,2,1,2,6,1,2,11,2,16,1,2,11,2,16,1,2,1,2,6,1,2,11,2,16,1,2,10,2,15
DAMIMAS_A21B_0717,24,4,2,4,13,5,24,1,2,7,3,13,1,2,7,3,13,1,3,8,3,15,1,2,8,3,14,1,2,7,3,13,1,2,8,3,14,1,2,8,3,14,1,2,8,3,14,1,2,8,3,14,1,2,7,3,13,1,3,8,3,15,1,2,7,3,13,1,2,7,3,13,1,2,7,3,13,1,2,1,2,6,1,2,7,3,13,1,2,8,3,14,2,3,2,4,11,1,2,8,3,14,1,2,7,3,13
DAMIMAS_A21B_0718,14,4,6,2,4,2,14,3,1,2,1,7,4,1,2,1,8,4,1,2,1,8,3,1,2,1,7,3,1,2,1,7,3,1,2,1,7,3,1,2,1,7,3,1,2,1,7,3,1,2,1,7,4,1,2,1,8,3,1,2,1,7,4,1,2,1,8,4,1,2,1,8,4,1,2,1,8,1,2,1,2,6,3,1,2,1,7,3,1,2,1,7,2,2,1,2,7,3,1,2,1,7,3,1,2,1,7
DAMIMAS_A21B_0719,19,4,3,3,13,0,19,2,2,7,0,11,2,2,7,0,11,2,2,8,0,12,2,2,7,0,11,2,2,7,0,11,1,2,7,0,10,2,2,7,0,11,2,2,7,0,11,2,2,7,0,11,2,2,7,0,11,2,2,8,0,12,2,2,7,0,11,2,2,7,0,11,2,2,7,0,11,2,1,1,0,4,2,2,7,0,11,2,2,8,0,12,2,2,2,0,6,2,2,7,0,11,2,2,7,0,11
DAMIMAS_A21B_0720,24,4,5,2,15,2,24,3,1,8,1,13,3,1,8,1,13,3,1,9,1,14,3,1,9,1,14,3,1,9,1,14,3,1,9,1,14,3,1,9,1,14,3,1,9,1,14,3,1,9,1,14,3,1,8,1,13,3,1,9,1,14,3,1,8,1,13,3,1,8,1,13,3,1,8,1,13,1,2,1,2,6,3,1,8,1,13,3,1,9,1,14,2,2,1,2,7,3,1,9,1,14,3,1,8,1,13
DAMIMAS_A21B_0721,26,4,2,5,16,3,26,1,3,9,2,15,1,3,9,2,15,1,3,10,2,16,1,3,9,2,15,1,3,9,2,15,1,3,9,2,15,1,3,9,2,15,1,3,9,2,15,1,3,9,2,15,1,3,9,2,15,1,3,10,2,16,1,3,9,2,15,1,3,9,2,15,1,3,9,2,15,1,2,1,2,6,1,3,9,2,15,1,3,9,2,15,2,2,1,2,7,1,3,9,2,15,1,3,8,2,14
DAMIMAS_A21B_0722,16,4,2,4,6,4,16,1,2,3,2,8,1,2,3,2,8,1,2,3,2,8,1,2,3,2,8,1,2,3,2,8,1,2,3,2,8,1,2,3,2,8,1,2,3,3,9,1,2,3,3,9,1,2,3,2,8,1,3,4,2,10,1,2,3,2,8,1,2,3,2,8,1,3,2,2,8,2,1,1,2,6,1,2,3,2,8,1,2,3,2,8,2,3,3,2,10,1,2,3,2,8,1,2,3,2,8
DAMIMAS_A21B_0723,36,4,5,6,14,11,36,3,3,8,7,21,3,4,8,6,21,3,4,9,6,22,3,4,9,8,24,3,4,9,8,24,3,4,9,8,24,3,4,9,8,24,3,4,9,8,24,3,4,9,8,24,3,4,8,6,21,3,4,9,6,22,3,4,8,6,21,3,4,8,7,22,3,3,9,6,21,1,2,1,1,5,3,3,8,6,20,3,4,8,6,21,4,3,2,3,12,3,4,9,6,22,3,4,8,6,21
DAMIMAS_A21B_0724,16,4,4,2,9,1,16,2,1,5,1,9,2,1,5,1,9,2,1,5,1,9,2,1,5,1,9,2,1,5,1,9,2,1,5,1,9,2,1,5,1,9,2,1,5,1,9,2,1,5,1,9,2,1,5,1,9,2,1,6,1,10,2,1,5,1,9,2,1,5,1,9,2,2,4,1,9,1,1,1,1,4,2,1,5,1,9,2,1,5,1,9,2,2,3,1,8,2,1,5,1,9,2,1,5,1,9
DAMIMAS_A21B_0725,12,4,0,3,8,1,12,0,2,4,1,7,0,2,4,1,7,0,2,4,1,7,0,2,4,1,7,0,2,4,1,7,0,2,4,1,7,0,2,4,1,7,0,2,4,1,7,0,2,4,1,7,0,2,4,1,7,0,2,5,1,8,0,2,4,1,7,0,2,4,1,7,0,2,4,1,7,0,2,1,1,4,0,2,4,1,7,0,2,5,1,8,0,2,2,1,5,0,2,4,1,7,0,2,4,1,7
DAMIMAS_A21B_0726,18,4,4,3,10,1,18,2,2,6,1,11,2,2,6,1,11,2,2,6,1,11,2,2,6,1,11,2,2,6,1,11,2,2,6,1,11,2,2,6,1,11,2,2,6,1,11,2,2,6,1,11,2,2,6,1,11,2,2,6,1,11,2,2,6,1,11,2,2,6,1,11,2,2,6,1,11,1,2,1,1,5,2,2,5,1,10,2,2,6,1,11,2,2,2,1,7,2,2,6,1,11,2,2,6,1,11
DAMIMAS_A21B_0727,32,4,4,3,20,5,32,2,2,11,3,18,2,2,11,3,18,2,2,12,3,19,2,2,12,3,19,2,2,12,3,19,2,2,12,3,19,2,2,12,3,19,2,2,12,4,20,2,2,12,4,20,2,2,11,3,18,2,2,13,3,20,2,2,11,3,18,2,2,11,3,18,2,2,11,3,18,1,2,1,1,5,2,2,11,3,18,2,2,12,3,19,1,2,1,3,7,2,2,12,3,19,2,2,10,3,17
DAMIMAS_A21B_0728,27,4,4,0,14,9,27,2,0,8,5,15,2,0,8,5,15,2,0,8,5,15,2,0,8,6,16,2,0,8,6,16,2,0,8,6,16,2,0,8,6,16,2,0,8,6,16,2,0,8,6,16,2,0,8,5,15,2,0,9,5,16,2,0,8,5,15,2,0,8,5,15,2,0,8,5,15,1,0,1,1,3,2,0,8,5,15,2,0,8,5,15,2,0,1,1,4,2,0,8,5,15,2,0,7,5,14
DAMIMAS_A21B_0729,28,4,6,3,17,2,28,3,2,9,1,15,4,2,10,1,17,4,2,10,1,17,3,2,10,1,16,3,2,10,1,16,3,2,10,1,16,3,2,10,2,17,3,2,10,2,17,3,2,10,2,17,4,2,10,1,17,3,2,11,1,17,4,2,10,2,18,4,2,10,1,17,4,2,10,1,17,1,3,1,2,7,3,2,9,1,15,3,2,10,1,16,2,3,1,2,8,3,2,10,1,16,3,2,9,1,15
DAMIMAS_A21B_0730,14,4,4,2,7,1,14,2,1,4,1,8,2,1,4,1,8,2,1,4,1,8,2,1,4,1,8,2,1,4,1,8,2,1,4,1,8,2,1,4,1,8,2,1,4,1,8,2,1,4,1,8,2,1,4,1,8,2,1,4,1,8,2,1,4,1,8,2,1,4,1,8,2,1,4,1,8,1,2,1,1,5,2,1,4,1,8,2,1,4,1,8,1,2,1,1,5,2,1,4,1,8,2,1,4,1,8
DAMIMAS_A21B_0731,12,4,0,0,12,0,12,0,0,7,0,7,0,0,7,0,7,0,0,7,0,7,0,0,6,0,6,0,0,6,0,6,0,0,6,0,6,0,0,6,0,6,0,0,6,0,6,0,0,6,0,6,0,0,7,0,7,0,0,8,0,8,0,0,7,0,7,0,0,7,0,7,0,0,7,0,7,0,0,1,0,1,0,0,7,0,7,0,0,7,0,7,0,0,1,0,1,0,0,6,0,6,0,0,6,0,6
