tree_id,n_dets,n_sides,naive_B1,naive_B2,naive_B3,naive_B4,naive_total,corrected_B1,corrected_B2,corrected_B3,corrected_B4,corrected_total,visibility_B1,visibility_B2,visibility_B3,visibility_B4,visibility_total,adaptive_visibility_B1,adaptive_visibility_B2,adaptive_visibility_B3,adaptive_visibility_B4,adaptive_visibility_total,adaptive_corrected_B1,adaptive_corrected_B2,adaptive_corrected_B3,adaptive_corrected_B4,adaptive_corrected_total,v6_selector_B1,v6_selector_B2,v6_selector_B3,v6_selector_B4,v6_selector_total,stacking_density_v7_B1,stacking_density_v7_B2,stacking_density_v7_B3,stacking_density_v7_B4,stacking_density_v7_total,stacking_bracketed_v7_B1,stacking_bracketed_v7_B2,stacking_bracketed_v7_B3,stacking_bracketed_v7_B4,stacking_bracketed_v7_total,entropy_modulated_v8_B1,entropy_modulated_v8_B2,entropy_modulated_v8_B3,entropy_modulated_v8_B4,entropy_modulated_v8_total,v8_entropy_stacking_B1,v8_entropy_stacking_B2,v8_entropy_stacking_B3,v8_entropy_stacking_B4,v8_entropy_stacking_total,density_scaled_vis_B1,density_scaled_vis_B2,density_scaled_vis_B3,density_scaled_vis_B4,density_scaled_vis_total,class_aware_vis_B1,class_aware_vis_B2,class_aware_vis_B3,class_aware_vis_B4,class_aware_vis_total,side_coverage_B1,side_coverage_B2,side_coverage_B3,side_coverage_B4,side_coverage_total,hybrid_vis_corr_B1,hybrid_vis_corr_B2,hybrid_vis_corr_B3,hybrid_vis_corr_B4,hybrid_vis_corr_total,ordinal_prior_B1,ordinal_prior_B2,ordinal_prior_B3,ordinal_prior_B4,ordinal_prior_total,relaxed_match_B1,relaxed_match_B2,relaxed_match_B3,relaxed_match_B4,relaxed_match_total,best_visibility_grid_B1,best_visibility_grid_B2,best_visibility_grid_B3,best_visibility_grid_B4,best_visibility_grid_total,best_class_aware_grid_B1,best_class_aware_grid_B2,best_class_aware_grid_B3,best_class_aware_grid_B4,best_class_aware_grid_total,best_relaxed_grid_B1,best_relaxed_grid_B2,best_relaxed_grid_B3,best_relaxed_grid_B4,best_relaxed_grid_total,best_ensemble_grid_B1,best_ensemble_grid_B2,best_ensemble_grid_B3,best_ensemble_grid_B4,best_ensemble_grid_total,naive_mean_ensemble_B1,naive_mean_ensemble_B2,naive_mean_ensemble_B3,naive_mean_ensemble_B4,naive_mean_ensemble_total
DAMIMAS_A21B_0698,20,4,5,0,9,6,20,3,0,5,4,12,3,0,5,4,12,3,0,5,4,12,3,0,5,4,12,3,0,5,4,12,3,0,5,4,12,3,0,5,4,12,3,0,5,4,12,3,0,5,4,12,3,0,5,4,12,3,0,6,3,12,3,0,5,4,12,3,0,5,4,12,3,1,4,4,12,1,0,1,1,3,3,0,5,3,11,3,0,5,3,11,2,0,4,2,8,3,0,5,4,12,3,0,5,4,12
DAMIMAS_A21B_0699,19,4,0,3,9,7,19,0,2,5,4,11,0,2,5,4,11,0,2,5,4,11,0,2,5,4,11,0,2,5,4,11,0,2,5,4,11,0,2,5,4,11,0,2,5,4,11,0,2,5,4,11,0,2,5,4,11,0,2,6,4,12,0,2,5,4,11,0,2,5,4,11,0,2,5,4,11,0,1,1,1,3,0,2,5,4,11,0,2,5,4,11,0,1,1,1,3,0,2,5,4,11,0,2,5,4,11
DAMIMAS_A21B_0700,20,4,4,5,7,4,20,2,3,4,2,11,2,3,4,2,11,2,3,4,2,11,2,3,4,2,11,2,3,4,2,11,2,3,4,2,11,2,3,4,2,11,2,3,4,3,12,2,3,4,3,12,2,3,4,2,11,2,3,4,2,11,2,3,4,2,11,2,3,4,2,11,2,3,4,2,11,1,2,1,1,5,2,3,4,2,11,2,3,4,2,11,1,2,2,2,7,2,3,4,2,11,2,3,4,2,11
DAMIMAS_A21B_0701,26,4,0,2,21,3,26,0,1,12,2,15,0,1,12,2,15,0,1,13,2,16,0,1,12,2,15,0,1,12,2,15,0,1,12,2,15,0,1,12,2,15,0,1,12,2,15,0,1,12,2,15,0,1,12,2,15,0,1,13,2,16,0,1,12,2,15,0,1,12,2,15,0,2,11,2,15,0,2,1,1,4,0,1,12,2,15,0,1,12,2,15,0,2,3,2,7,0,1,12,2,15,0,1,11,2,14
DAMIMAS_A21B_0702,14,4,1,0,9,4,14,1,0,5,2,8,1,0,5,2,8,1,0,5,2,8,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,1,0,5,2,8,1,0,5,2,8,1,0,5,2,8,1,0,5,2,8,1,0,6,2,9,1,0,5,2,8,1,0,5,2,8,1,1,4,2,8,1,0,1,2,4,1,0,5,2,8,1,0,5,2,8,1,0,3,3,7,1,0,5,2,8,1,0,5,2,8
DAMIMAS_A21B_0703,23,4,4,3,14,2,23,2,2,8,1,13,2,2,8,1,13,2,2,8,1,13,2,2,8,1,13,2,2,8,1,13,2,2,8,1,13,2,2,8,1,13,2,2,8,1,13,2,2,8,1,13,2,2,8,1,13,2,2,9,1,14,2,2,8,1,13,2,2,8,1,13,2,3,7,1,13,4,1,1,2,8,2,2,8,1,13,2,2,8,1,13,4,2,2,2,10,2,2,8,1,13,2,2,7,1,12
DAMIMAS_A21B_0704,26,4,0,5,14,7,26,0,3,8,4,15,0,3,8,4,15,0,3,8,4,15,0,3,8,4,15,0,3,8,4,15,0,3,8,4,15,0,3,8,4,15,0,3,8,4,15,0,3,8,4,15,0,3,8,4,15,0,3,9,4,16,0,3,8,4,15,0,3,8,4,15,0,3,8,4,15,0,2,1,1,4,0,3,8,4,15,0,3,8,4,15,0,4,1,1,6,0,3,8,4,15,0,3,7,4,14
DAMIMAS_A21B_0705,25,4,2,4,16,3,25,1,2,9,2,14,1,2,9,2,14,1,2,10,2,15,1,2,9,2,14,1,2,9,2,14,1,2,9,2,14,1,2,9,2,14,1,2,9,2,14,1,2,9,2,14,1,2,9,2,14,1,3,10,2,16,1,2,9,2,14,1,2,9,2,14,1,2,9,2,14,2,1,1,2,6,1,2,9,2,14,1,2,9,2,14,2,1,1,2,6,1,2,9,2,14,1,2,8,2,13
DAMIMAS_A21B_0706,21,4,5,1,5,10,21,3,1,3,6,13,3,1,3,6,13,3,1,3,6,13,3,1,3,6,13,3,1,3,6,13,3,1,3,6,13,3,1,3,6,13,3,1,3,6,13,3,1,3,6,13,3,1,3,6,13,3,1,3,6,13,3,1,3,6,13,3,1,3,6,13,3,1,3,6,13,1,1,1,1,4,3,1,3,6,13,3,1,3,6,13,1,1,1,2,5,3,1,3,6,13,3,1,3,6,13
DAMIMAS_A21B_0707,25,4,0,3,20,2,25,0,2,11,1,14,0,2,12,1,15,0,2,12,1,15,0,2,12,1,15,0,2,11,1,14,0,2,12,1,15,0,2,12,1,15,0,2,12,1,15,0,2,12,1,15,0,2,12,1,15,0,2,13,1,16,0,2,12,1,15,0,2,12,1,15,0,2,12,1,15,0,2,1,1,4,0,2,11,1,14,0,2,12,1,15,0,3,2,1,6,0,2,12,1,15,0,2,11,1,14
