T_y,T_s,lam_s,lam_adj,iou_intra,T_cost,adjacent_only,T_y_opp,mutual_best,per_class_T_y,n,pct_exact,pct_within_1,pct_within_2,mae_total,mae_B1,mae_B2,mae_B3,mae_B4
0.05,2.0,0.0,0.0,0.5,0.050001000000000004,False,,False,{},197,0.2233502538071066,0.5329949238578681,0.7563451776649747,1.6548223350253808,0.4416243654822335,0.5482233502538071,0.8984771573604061,0.49746192893401014
0.05,2.0,0.0,0.0,0.5,0.050001000000000004,False,,False,{'B3': 0.03},197,0.17766497461928935,0.5025380710659898,0.700507614213198,1.9086294416243654,0.4416243654822335,0.5482233502538071,1.0406091370558375,0.49746192893401014
0.05,2.0,0.0,0.0,0.5,0.050001000000000004,False,,False,{'B3': 0.05},197,0.2233502538071066,0.5329949238578681,0.7563451776649747,1.6548223350253808,0.4416243654822335,0.5482233502538071,0.8984771573604061,0.49746192893401014
0.05,2.0,0.0,0.0,0.5,0.050001000000000004,False,,False,{'B3': 0.07},197,0.2233502538071066,0.5329949238578681,0.7563451776649747,1.6548223350253808,0.4416243654822335,0.5482233502538071,0.8984771573604061,0.49746192893401014
0.05,2.0,0.0,0.0,0.5,0.050001000000000004,False,0.03,False,{},197,0.23857868020304568,0.5380710659898477,0.7411167512690355,1.6954314720812182,0.4365482233502538,0.5329949238578681,0.9187817258883249,0.4873096446700508
0.05,2.0,0.0,0.0,0.5,0.050001000000000004,False,0.03,False,{'B3': 0.03},197,0.2131979695431472,0.49746192893401014,0.6954314720812182,1.898477157360406,0.4365482233502538,0.5329949238578681,1.0406091370558375,0.4873096446700508
0.05,2.0,0.0,0.0,0.5,0.050001000000000004,False,0.03,False,{'B3': 0.05},197,0.23857868020304568,0.5380710659898477,0.7411167512690355,1.6954314720812182,0.4365482233502538,0.5329949238578681,0.9187817258883249,0.4873096446700508
0.05,2.0,0.0,0.0,0.5,0.050001000000000004,False,0.03,False,{'B3': 0.07},197,0.23857868020304568,0.5380710659898477,0.7411167512690355,1.6954314720812182,0.4365482233502538,0.5329949238578681,0.9187817258883249,0.4873096446700508
0.05,2.0,0.0,0.0,0.5,0.050001000000000004,False,,True,{},197,0.025380710659898477,0.15228426395939088,0.3604060913705584,3.3908629441624365,0.5583756345177665,0.7157360406091371,1.6598984771573604,0.5989847715736041
0.05,2.0,0.0,0.0,0.5,0.050001000000000004,False,,True,{'B3': 0.03},197,0.02030456852791878,0.1218274111675127,0.3350253807106599,3.532994923857868,0.5583756345177665,0.7157360406091371,1.7918781725888324,0.5989847715736041
0.05,2.0,0.0,0.0,0.5,0.050001000000000004,False,,True,{'B3': 0.05},197,0.025380710659898477,0.15228426395939088,0.3604060913705584,3.3908629441624365,0.5583756345177665,0.7157360406091371,1.6598984771573604,0.5989847715736041
0.05,2.0,0.0,0.0,0.5,0.050001000000000004,False,,True,{'B3': 0.07},197,0.025380710659898477,0.15228426395939088,0.3604060913705584,3.3908629441624365,0.5583756345177665,0.7157360406091371,1.6598984771573604,0.5989847715736041
0.05,2.0,0.0,0.0,0.5,0.050001000000000004,False,0.03,True,{},197,0.02030456852791878,0.14720812182741116,0.34517766497461927,3.467005076142132,0.5786802030456852,0.7411167512690355,1.6852791878172588,0.5939086294416244
0.05,2.0,0.0,0.0,0.5,0.050001000000000004,False,0.03,True,{'B3': 0.03},197,0.02030456852791878,0.1218274111675127,0.3197969543147208,3.583756345177665,0.5786802030456852,0.7411167512690355,1.7918781725888324,0.5939086294416244
0.05,2.0,0.0,0.0,0.5,0.050001000000000004,False,0.03,True,{'B3': 0.05},197,0.02030456852791878,0.14720812182741116,0.34517766497461927,3.467005076142132,0.5786802030456852,0.7411167512690355,1.6852791878172588,0.5939086294416244
0.05,2.0,0.0,0.0,0.5,0.050001000000000004,False,0.03,True,{'B3': 0.07},197,0.02030456852791878,0.14720812182741116,0.34517766497461927,3.467005076142132,0.5786802030456852,0.7411167512690355,1.6852791878172588,0.5939086294416244
0.05,2.0,0.0,0.03,0.5,0.080001,False,,False,{},197,0.18274111675126903,0.5380710659898477,0.766497461928934,1.6903553299492386,0.4416243654822335,0.5380710659898477,0.9137055837563451,0.5076142131979695
