tree_id,split,n_dets,n_sides,M01_selector_b2b3_B1,M01_selector_b2b3_B2,M01_selector_b2b3_B3,M01_selector_b2b3_B4,M01_selector_b2b3_total,M02_selector_trifurc_B1,M02_selector_trifurc_B2,M02_selector_trifurc_B3,M02_selector_trifurc_B4,M02_selector_trifurc_total,M03_blend_geometric_B1,M03_blend_geometric_B2,M03_blend_geometric_B3,M03_blend_geometric_B4,M03_blend_geometric_total,M04_blend_floor_clamped_B1,M04_blend_floor_clamped_B2,M04_blend_floor_clamped_B3,M04_blend_floor_clamped_B4,M04_blend_floor_clamped_total,M05_blend_vis_divide_B1,M05_blend_vis_divide_B2,M05_blend_vis_divide_B3,M05_blend_vis_divide_B4,M05_blend_vis_divide_total,M06_weight_visibility_B1,M06_weight_visibility_B2,M06_weight_visibility_B3,M06_weight_visibility_B4,M06_weight_visibility_total,M07_weight_coverage_B1,M07_weight_coverage_B2,M07_weight_coverage_B3,M07_weight_coverage_B4,M07_weight_coverage_total,M08_divide_density_vis_B1,M08_divide_density_vis_B2,M08_divide_density_vis_B3,M08_divide_density_vis_B4,M08_divide_density_vis_total,M09_median_strong5_B1,M09_median_strong5_B2,M09_median_strong5_B3,M09_median_strong5_B4,M09_median_strong5_total,M10_entropy_divide_B1,M10_entropy_divide_B2,M10_entropy_divide_B3,M10_entropy_divide_B4,M10_entropy_divide_total,M11_median_b2_B1,M11_median_b2_B2,M11_median_b2_B3,M11_median_b2_B4,M11_median_b2_total,M12_selector_overrides_B1,M12_selector_overrides_B2,M12_selector_overrides_B3,M12_selector_overrides_B4,M12_selector_overrides_total,M13_stack_bracket_B1,M13_stack_bracket_B2,M13_stack_bracket_B3,M13_stack_bracket_B4,M13_stack_bracket_total,M14_stack_density_B1,M14_stack_density_B2,M14_stack_density_B3,M14_stack_density_B4,M14_stack_density_total,M15_divide_global_B1,M15_divide_global_B2,M15_divide_global_B3,M15_divide_global_B4,M15_divide_global_total,M16_boost_b2b4_B1,M16_boost_b2b4_B2,M16_boost_b2b4_B3,M16_boost_b2b4_B4,M16_boost_b2b4_total,M17_selector_regime_B1,M17_selector_regime_B2,M17_selector_regime_B3,M17_selector_regime_B4,M17_selector_regime_total,M18_entropy_stack_B1,M18_entropy_stack_B2,M18_entropy_stack_B3,M18_entropy_stack_B4,M18_entropy_stack_total,M19_divide_adaptive_B1,M19_divide_adaptive_B2,M19_divide_adaptive_B3,M19_divide_adaptive_B4,M19_divide_adaptive_total,M20_weight_visibility_grid_B1,M20_weight_visibility_grid_B2,M20_weight_visibility_grid_B3,M20_weight_visibility_grid_B4,M20_weight_visibility_grid_total,_err_M21_ordinal_b3,M21_ordinal_b3_B1,M21_ordinal_b3_B2,M21_ordinal_b3_B3,M21_ordinal_b3_B4,M21_ordinal_b3_total,M22_anchor_floor50_B1,M22_anchor_floor50_B2,M22_anchor_floor50_B3,M22_anchor_floor50_B4,M22_anchor_floor50_total,M23_agree_side_B1,M23_agree_side_B2,M23_agree_side_B3,M23_agree_side_B4,M23_agree_side_total,M24_weight_class_aware_B1,M24_weight_class_aware_B2,M24_weight_class_aware_B3,M24_weight_class_aware_B4,M24_weight_class_aware_total,M25_consensus_multi_B1,M25_consensus_multi_B2,M25_consensus_multi_B3,M25_consensus_multi_B4,M25_consensus_multi_total,M26_median_per_side_B1,M26_median_per_side_B2,M26_median_per_side_B3,M26_median_per_side_B4,M26_median_per_side_total,M27_weight_visibility_adaptive_B1,M27_weight_visibility_adaptive_B2,M27_weight_visibility_adaptive_B3,M27_weight_visibility_adaptive_B4,M27_weight_visibility_adaptive_total,M28_baseline_match_strict_B1,M28_baseline_match_strict_B2,M28_baseline_match_strict_B3,M28_baseline_match_strict_B4,M28_baseline_match_strict_total,M29_baseline_naive_sum_B1,M29_baseline_naive_sum_B2,M29_baseline_naive_sum_B3,M29_baseline_naive_sum_B4,M29_baseline_naive_sum_total
DAMIMAS_A21B_0212,test,17,4,1,0,5,3,9,1,0,5,3,9,1,0,5,3,9,1,0,5,3,9,1,0,5,3,9,1,0,5,3,9,1,0,5,3,9,1,0,5,3,9,1,0,5,3,9,1,0,5,4,10,1,0,5,4,10,1,0,5,4,10,1,0,5,4,10,1,0,5,4,10,1,0,5,4,10,1,0,5,3,9,1,0,5,4,10,1,0,5,4,10,1,0,5,4,10,1,0,5,3,9,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,0,4,3,8,1,0,4,3,8,1,0,6,3,10,1,0,3,2,6,1,0,3,2,6,1,0,5,3,9,1,0,1,1,3,2,0,9,6,17
DAMIMAS_A21B_0213,test,21,4,0,1,7,3,11,0,1,7,3,11,0,1,7,3,11,0,1,7,3,11,0,1,7,3,11,0,1,7,3,11,0,1,7,3,11,0,1,7,3,11,0,1,7,3,11,0,1,7,4,12,0,1,7,4,12,0,1,7,4,12,0,1,7,4,12,0,1,7,4,12,0,1,7,4,12,0,1,7,3,11,0,1,7,4,12,0,1,7,4,12,0,1,7,4,12,0,1,7,3,11,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,1,6,3,10,0,1,7,3,11,0,1,8,3,12,0,1,4,2,7,0,1,4,2,7,0,1,8,4,13,0,1,1,1,3,0,2,13,6,21
DAMIMAS_A21B_0214,test,20,4,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,1,4,4,10,1,1,4,4,10,1,1,6,4,12,1,1,3,4,9,1,1,3,4,9,1,1,5,4,11,1,1,1,1,4,2,2,9,7,20
DAMIMAS_A21B_0215,test,20,4,4,2,5,1,12,4,2,5,1,12,4,2,4,1,11,4,2,4,1,11,4,2,4,1,11,4,2,4,1,11,4,2,4,1,11,4,2,4,1,11,3,2,5,1,11,4,2,5,1,12,4,2,5,1,12,4,2,5,1,12,3,2,5,1,11,3,2,5,1,11,4,2,4,1,11,3,2,5,1,11,4,2,5,1,12,4,2,5,1,12,4,2,5,1,12,4,2,5,1,12,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,3,2,4,1,10,3,2,4,1,10,4,2,5,1,12,2,2,3,1,8,2,2,3,1,8,4,2,5,1,12,1,1,1,1,4,7,3,8,2,20
DAMIMAS_A21B_0216,test,21,4,3,0,6,2,11,3,0,6,2,11,3,0,6,2,11,3,0,6,2,11,3,0,6,2,11,3,0,6,2,11,3,0,6,2,11,3,0,6,2,11,3,0,7,2,12,3,0,7,3,13,3,0,7,2,12,3,0,7,2,12,3,0,7,2,12,3,0,7,2,12,3,0,7,2,12,3,0,7,2,12,3,0,7,2,12,3,0,7,3,13,3,0,7,2,12,3,0,7,2,12,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,3,0,5,2,10,2,0,6,2,10,3,0,7,2,12,2,0,4,2,8,2,0,4,2,8,3,0,7,2,12,1,0,1,1,3,5,0,12,4,21
DAMIMAS_A21B_0217,test,21,4,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,7,1,12,1,3,7,1,12,1,3,7,1,12,1,3,7,1,12,1,3,7,1,12,1,3,7,1,12,1,3,7,1,12,1,3,7,1,12,1,3,7,1,12,1,3,7,1,12,1,3,7,1,12,1,3,7,1,12,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,3,5,1,10,1,2,6,1,10,1,3,7,1,12,1,2,4,1,8,1,2,4,1,8,1,3,7,1,12,2,1,1,1,5,2,5,12,2,21
DAMIMAS_A21B_0218,test,19,4,0,2,2,7,11,0,2,2,7,11,0,2,2,7,11,0,2,2,7,11,0,2,2,7,11,0,2,2,7,11,0,2,2,7,11,0,2,2,7,11,0,2,2,7,11,0,2,2,8,12,0,2,2,8,12,0,2,2,8,12,0,2,2,8,12,0,2,2,8,12,0,2,2,8,12,0,2,2,7,11,0,2,2,8,12,0,2,2,8,12,0,2,2,8,12,0,2,2,7,11,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,2,2,6,10,0,1,1,7,9,0,2,2,7,11,0,1,1,4,6,0,1,1,4,6,0,2,2,8,12,0,1,1,1,3,0,3,3,13,19
DAMIMAS_A21B_0219,test,22,4,2,2,6,2,12,2,2,6,2,12,2,2,6,2,12,2,2,6,2,12,2,2,6,2,12,2,2,6,2,12,2,2,6,2,12,2,2,6,2,12,2,2,6,2,12,2,2,6,2,12,2,2,6,2,12,2,2,6,2,12,2,2,6,2,12,2,2,6,2,12,2,2,6,2,12,2,2,6,2,12,2,2,6,2,12,2,2,6,2,12,2,2,6,2,12,2,2,6,2,12,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,2,2,5,2,11,2,2,5,2,11,2,2,7,2,13,2,1,4,1,8,2,1,4,1,8,2,2,6,2,12,1,1,1,1,4,4,3,11,4,22
DAMIMAS_A21B_0220,test,9,4,0,2,3,0,5,0,2,3,0,5,0,2,3,0,5,0,2,3,0,5,0,2,3,0,5,0,2,3,0,5,0,2,3,0,5,0,2,3,0,5,0,2,3,0,5,0,2,3,0,5,0,2,3,0,5,0,2,3,0,5,0,2,3,0,5,0,2,3,0,5,0,2,3,0,5,0,2,3,0,5,0,2,3,0,5,0,2,3,0,5,0,2,3,0,5,0,2,3,0,5,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,2,3,0,5,0,2,2,0,4,0,2,3,0,5,0,2,2,0,4,0,2,2,0,4,0,2,3,0,5,0,1,1,0,2,0,4,5,0,9
DAMIMAS_A21B_0221,test,25,4,2,4,6,3,15,2,4,6,3,15,2,3,5,3,13,2,3,5,3,13,2,3,5,3,13,2,3,5,3,13,2,3,5,3,13,2,3,5,3,13,2,3,6,3,14,2,4,6,3,15,2,3,6,3,14,2,4,6,3,15,2,4,6,3,15,2,4,6,3,15,2,3,6,3,14,2,3,6,3,14,2,4,6,3,15,2,4,6,3,15,2,4,6,3,15,2,4,6,3,15,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,2,3,4,3,12,2,3,5,3,13,2,4,6,3,15,2,2,3,2,9,2,2,3,2,9,2,4,6,3,15,3,2,1,1,7,4,6,10,5,25
DAMIMAS_A21B_0222,test,21,4,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,4,11,1,1,5,5,12,1,1,5,5,12,1,1,5,5,12,1,1,5,5,12,1,1,5,5,12,1,1,5,5,12,1,1,5,4,11,1,1,5,5,12,1,1,5,5,12,1,1,5,5,12,1,1,5,5,12,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,1,5,4,11,1,1,4,4,10,1,1,6,4,12,1,1,4,3,9,1,1,4,3,9,1,1,5,5,12,2,1,1,1,5,2,2,9,8,21
DAMIMAS_A21B_0223,test,16,4,1,2,6,0,9,1,2,6,0,9,1,2,6,0,9,1,2,6,0,9,1,2,6,0,9,1,2,6,0,9,1,2,6,0,9,1,2,6,0,9,1,2,6,0,9,1,2,6,0,9,0,2,6,0,8,0,2,6,0,8,1,2,6,0,9,0,2,6,0,8,1,2,6,0,9,1,2,6,0,9,0,2,6,0,8,1,2,6,0,9,0,2,6,0,8,1,2,6,0,9,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,2,5,0,8,1,2,5,0,8,1,2,7,0,10,1,2,4,0,7,1,2,4,0,7,1,2,6,0,9,1,1,1,0,3,1,4,11,0,16
DAMIMAS_A21B_0224,test,21,4,2,3,5,2,12,2,3,5,2,12,2,3,5,2,12,2,3,5,2,12,2,3,5,2,12,2,3,5,2,12,2,3,5,2,12,2,3,5,2,12,2,3,5,2,12,2,3,5,2,12,2,3,5,2,12,2,3,5,2,12,2,3,5,2,12,2,3,5,2,12,2,3,5,2,12,2,3,5,2,12,2,3,5,2,12,2,3,5,2,12,2,3,5,2,12,2,3,5,2,12,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,2,3,4,2,11,1,2,5,2,10,2,3,6,2,13,1,2,3,1,7,1,2,3,1,7,2,3,5,2,12,1,1,1,1,4,3,5,9,4,21
DAMIMAS_A21B_0225,test,12,4,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,1,1,5,0,7,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,1,4,0,6,1,1,3,0,5,1,1,5,0,7,1,1,3,0,5,1,1,3,0,5,1,1,4,0,6,2,1,1,0,4,2,2,8,0,12
DAMIMAS_A21B_0226,test,16,4,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,4,9,0,0,5,4,9,0,0,5,4,9,0,0,5,4,9,0,0,5,4,9,0,0,6,4,10,0,0,5,3,8,0,0,5,4,9,0,0,5,4,9,0,0,5,4,9,0,0,6,3,9,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,0,4,3,7,0,0,5,3,8,0,0,6,3,9,0,0,3,2,5,0,0,3,2,5,0,0,5,3,8,0,0,2,2,4,0,0,10,6,16
DAMIMAS_A21B_0227,test,10,4,1,0,1,4,6,1,0,1,4,6,1,0,1,4,6,1,0,1,4,6,1,0,1,4,6,1,0,1,4,6,1,0,1,4,6,1,0,1,4,6,1,0,1,4,6,1,0,1,4,6,0,0,1,4,5,0,0,1,4,5,1,0,1,4,6,0,0,1,4,5,1,0,1,4,6,1,0,1,4,6,0,0,1,4,5,1,0,1,4,6,0,0,1,4,5,1,0,1,4,6,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,0,1,3,5,1,0,1,4,6,1,0,1,4,6,1,0,1,2,4,1,0,1,2,4,1,0,1,4,6,1,0,1,1,3,1,0,2,7,10
DAMIMAS_A21B_0228,test,17,4,1,2,3,4,10,1,2,3,4,10,1,2,3,3,9,2,2,3,3,10,2,2,3,3,10,2,2,3,3,10,2,2,3,3,10,2,2,3,3,10,1,2,3,3,9,2,2,3,4,11,1,2,3,4,10,1,2,3,4,10,1,2,3,4,10,1,2,3,4,10,2,2,3,4,11,1,2,3,3,9,1,2,3,4,10,2,2,3,4,11,1,2,3,4,10,2,2,3,3,10,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,2,3,3,9,1,2,2,3,8,2,2,3,3,10,1,2,2,2,7,1,2,2,2,7,2,2,3,3,10,1,1,1,1,4,3,3,5,6,17
DAMIMAS_A21B_0229,test,22,4,2,0,7,2,11,2,0,7,2,11,2,0,7,2,11,2,0,7,2,11,2,0,7,2,11,2,0,7,2,11,2,0,7,2,11,2,0,7,2,11,2,0,7,2,11,2,0,8,2,12,2,0,8,2,12,2,0,8,2,12,2,0,7,2,11,2,0,7,2,11,2,0,8,2,12,2,0,7,2,11,2,0,8,2,12,2,0,8,2,12,2,0,8,2,12,2,0,8,2,12,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,2,0,6,2,10,2,0,7,2,11,2,0,9,2,13,2,0,4,1,7,2,0,4,1,7,2,0,8,2,12,1,0,1,1,3,4,0,14,4,22
DAMIMAS_A21B_0230,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0231,train,16,4,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,4,9,0,0,5,4,9,0,0,5,3,8,0,0,5,3,8,0,0,6,4,10,0,0,5,3,8,0,0,5,4,9,0,0,5,3,8,0,0,5,4,9,0,0,6,3,9,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,0,4,3,7,0,0,5,3,8,0,0,6,3,9,0,0,3,2,5,0,0,3,2,5,0,0,6,3,9,0,0,1,1,2,0,0,10,6,16
DAMIMAS_A21B_0232,test,9,3,0,0,2,4,6,0,0,2,4,6,0,0,2,4,6,0,0,2,4,6,0,0,2,3,5,0,0,2,3,5,0,0,2,4,6,0,0,2,3,5,0,0,2,4,6,0,0,2,4,6,0,0,2,3,5,0,0,2,3,5,0,0,2,4,6,0,0,2,3,5,0,0,2,3,5,0,0,2,4,6,0,0,2,3,5,0,0,2,4,6,0,0,2,3,5,0,0,2,3,5,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,0,2,4,6,0,0,2,4,6,0,0,2,3,5,0,0,2,4,6,0,0,2,4,6,0,0,2,3,5,0,0,1,2,3,0,0,4,5,9
DAMIMAS_A21B_0233,test,23,4,0,0,8,4,12,0,0,8,4,12,0,0,8,4,12,0,0,8,4,12,0,0,8,4,12,0,0,8,4,12,0,0,8,4,12,0,0,8,4,12,0,0,8,4,12,0,0,8,5,13,0,0,9,5,14,0,0,9,5,14,0,0,8,5,13,0,0,8,5,13,0,0,8,5,13,0,0,8,4,12,0,0,9,5,14,0,0,8,5,13,0,0,9,5,14,0,0,9,5,14,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,0,7,3,10,0,0,7,5,12,0,0,9,4,13,0,0,5,2,7,0,0,5,2,7,0,0,9,5,14,0,0,1,1,2,0,0,15,8,23
DAMIMAS_A21B_0234,test,15,4,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,6,3,9,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8,0,0,6,3,9,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,0,4,3,7,0,0,5,3,8,0,0,6,3,9,0,0,3,3,6,0,0,3,3,6,0,0,6,3,9,0,0,1,1,2,0,0,10,5,15
DAMIMAS_A21B_0235,test,23,4,0,3,8,1,12,0,3,8,1,12,0,3,8,1,12,0,3,8,1,12,0,3,8,1,12,0,3,8,1,12,0,3,8,1,12,0,3,8,1,12,0,3,9,1,13,0,4,9,1,14,0,3,9,1,13,0,3,9,1,13,0,3,9,1,13,0,3,9,1,13,0,3,9,1,13,0,3,9,1,13,0,3,9,1,13,0,4,9,1,14,0,3,9,1,13,0,3,9,1,13,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,3,7,1,11,0,3,9,1,13,0,4,10,1,15,0,3,4,1,8,0,3,4,1,8,0,4,9,1,14,0,1,1,1,3,0,6,16,1,23
DAMIMAS_A21B_0236,test,26,4,0,3,9,2,14,0,3,9,2,14,0,3,9,2,14,0,3,9,2,14,0,3,9,2,14,0,3,9,2,14,0,3,9,2,14,0,3,9,2,14,0,4,9,2,15,0,4,9,3,16,0,4,9,3,16,0,4,9,3,16,0,4,9,3,16,0,4,9,3,16,0,3,9,2,14,0,3,9,2,14,0,4,9,3,16,0,4,9,3,16,0,4,9,3,16,0,4,9,2,15,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,4,7,2,13,0,3,9,3,15,0,4,10,2,16,0,3,5,1,9,0,3,5,1,9,0,4,9,2,15,0,1,1,1,3,0,6,16,4,26
DAMIMAS_A21B_0237,test,20,4,2,3,5,1,11,2,3,5,1,11,2,3,5,1,11,2,3,5,1,11,2,3,5,1,11,2,3,5,1,11,2,3,5,1,11,2,3,5,1,11,2,3,5,1,11,2,3,5,1,11,2,3,5,1,11,2,3,5,1,11,2,3,5,1,11,2,3,5,1,11,2,3,5,1,11,2,3,5,1,11,2,3,5,1,11,2,3,5,1,11,2,3,5,1,11,2,4,5,1,12,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,2,3,4,1,10,1,3,4,1,9,2,4,6,1,13,1,2,3,1,7,1,2,3,1,7,2,4,5,1,12,1,1,1,1,4,3,6,9,2,20
DAMIMAS_A21B_0238,test,22,4,2,1,6,3,12,2,1,6,3,12,2,1,6,3,12,2,1,6,3,12,2,1,6,3,12,2,1,6,3,12,2,1,6,3,12,2,1,6,3,12,2,1,6,3,12,2,1,6,3,12,2,1,6,3,12,2,1,6,3,12,2,1,6,3,12,2,1,6,3,12,2,1,6,3,12,2,1,6,3,12,2,1,6,3,12,2,1,6,3,12,2,1,6,3,12,2,1,6,3,12,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,2,1,5,3,11,2,1,5,3,11,2,1,7,3,13,2,1,4,2,9,2,1,4,2,9,2,1,6,3,12,1,1,1,1,4,4,2,11,5,22
DAMIMAS_A21B_0239,test,16,4,0,4,4,0,8,0,4,4,0,8,0,4,4,0,8,0,4,4,0,8,0,4,4,0,8,0,4,4,0,8,0,4,4,0,8,0,4,4,0,8,0,4,4,0,8,0,4,4,0,8,0,4,4,0,8,0,4,4,0,8,0,4,4,0,8,0,4,4,0,8,0,4,4,0,8,0,4,4,0,8,0,4,4,0,8,0,4,4,0,8,0,4,4,0,8,0,5,5,0,10,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,4,4,0,8,0,4,4,0,8,0,5,5,0,10,0,4,3,0,7,0,4,3,0,7,0,5,4,0,9,0,1,1,0,2,0,8,8,0,16
DAMIMAS_A21B_0240,train,14,4,0,5,2,1,8,0,5,2,1,8,0,5,2,1,8,0,5,2,1,8,0,5,2,1,8,0,5,2,1,8,0,5,2,1,8,0,5,2,1,8,0,5,2,1,8,0,5,2,1,8,0,5,2,1,8,0,5,2,1,8,0,5,2,1,8,0,5,2,1,8,0,6,2,1,9,0,5,2,1,8,0,5,2,1,8,0,5,2,1,8,0,5,2,1,8,0,6,2,1,9,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,4,2,1,7,0,5,1,1,7,0,6,2,1,9,0,3,1,1,5,0,3,1,1,5,0,5,2,1,8,0,1,1,1,3,0,10,3,1,14
DAMIMAS_A21B_0241,val,16,4,1,2,5,0,8,1,2,5,0,8,1,2,5,0,8,1,2,5,0,8,1,2,5,0,8,1,2,5,0,8,1,2,5,0,8,1,2,5,0,8,1,2,5,0,8,1,2,5,0,8,1,2,5,0,8,1,2,5,0,8,1,2,5,0,8,1,2,5,0,8,1,2,6,0,9,1,2,5,0,8,1,2,5,0,8,1,2,5,0,8,1,2,5,0,8,1,2,6,0,9,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,2,4,0,7,1,2,5,0,8,1,2,6,0,9,1,2,3,0,6,1,2,3,0,6,1,2,6,0,9,1,1,1,0,3,2,4,10,0,16
DAMIMAS_A21B_0242,train,15,4,0,2,5,1,8,0,2,5,1,8,0,2,5,1,8,0,2,5,1,8,0,2,5,1,8,0,2,5,1,8,0,2,5,1,8,0,2,5,1,8,0,2,5,1,8,0,2,5,1,8,0,2,5,1,8,0,2,5,1,8,0,2,5,1,8,0,2,5,1,8,0,2,5,1,8,0,2,5,1,8,0,2,5,1,8,0,2,5,1,8,0,2,5,1,8,0,2,5,1,8,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,2,4,1,7,0,2,4,1,7,0,2,6,1,9,0,2,3,1,6,0,2,3,1,6,0,2,5,1,8,0,1,1,1,3,0,4,9,2,15
DAMIMAS_A21B_0243,val,22,4,2,7,3,1,13,2,7,3,1,13,2,6,3,1,12,2,6,3,1,12,2,6,3,1,12,2,6,3,1,12,2,6,3,1,12,2,6,3,1,12,2,6,3,1,12,2,7,3,1,13,2,6,3,1,12,2,7,3,1,13,2,7,3,1,13,2,7,3,1,13,2,7,3,1,13,2,6,3,1,12,2,7,3,1,13,2,7,3,1,13,2,7,3,1,13,2,7,3,1,13,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,2,5,3,1,11,1,6,3,1,11,2,7,4,1,14,1,4,2,1,8,1,4,2,1,8,2,7,3,1,13,1,1,1,1,4,3,12,6,1,22
DAMIMAS_A21B_0244,train,15,4,0,0,0,8,8,0,0,0,8,8,0,0,0,8,8,0,0,0,8,8,0,0,0,8,8,0,0,0,8,8,0,0,0,8,8,0,0,0,8,8,0,0,0,8,8,0,0,0,8,8,0,0,0,9,9,0,0,0,8,8,0,0,0,8,8,0,0,0,8,8,0,0,0,9,9,0,0,0,8,8,0,0,0,9,9,0,0,0,8,8,0,0,0,9,9,0,0,0,9,9,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,0,0,6,6,0,0,0,8,8,0,0,0,8,8,0,0,0,4,4,0,0,0,4,4,0,0,0,8,8,0,0,0,1,1,0,0,0,15,15
DAMIMAS_A21B_0245,train,10,4,0,0,2,3,5,0,0,2,3,5,0,0,2,3,5,0,0,2,3,5,0,0,2,3,5,0,0,2,3,5,0,0,2,3,5,0,0,2,3,5,0,0,2,3,5,0,0,2,3,5,0,0,2,3,5,0,0,2,3,5,0,0,2,3,5,0,0,2,3,5,0,0,2,4,6,0,0,2,3,5,0,0,2,3,5,0,0,2,3,5,0,0,2,3,5,0,0,2,3,5,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,0,2,3,5,0,0,2,3,5,0,0,2,3,5,0,0,2,2,4,0,0,2,2,4,0,0,2,3,5,0,0,1,1,2,0,0,4,6,10
DAMIMAS_A21B_0246,test,22,4,0,4,4,3,11,0,4,4,3,11,0,4,4,3,11,0,4,4,3,11,0,4,4,3,11,0,4,4,3,11,0,4,4,3,11,0,4,4,3,11,0,5,5,4,14,0,5,5,4,14,0,5,5,4,14,0,5,5,4,14,0,5,5,4,14,0,5,5,4,14,0,4,4,4,12,0,4,5,3,12,0,5,5,4,14,0,5,5,4,14,0,5,5,4,14,0,5,5,4,14,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,5,4,4,13,0,4,4,3,11,0,5,5,3,13,0,4,3,3,10,0,4,3,3,10,0,5,5,4,14,0,1,1,1,3,0,8,8,6,22
DAMIMAS_A21B_0247,test,20,4,2,3,5,0,10,2,3,5,0,10,2,3,5,0,10,2,3,5,0,10,2,3,5,0,10,2,3,5,0,10,2,3,5,0,10,2,3,5,0,10,2,3,6,0,11,2,3,6,0,11,2,3,6,0,11,2,3,6,0,11,2,3,6,0,11,2,3,6,0,11,2,3,6,0,11,2,3,6,0,11,2,3,6,0,11,2,3,6,0,11,2,3,6,0,11,2,3,6,0,11,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,2,3,4,0,9,2,3,5,0,10,2,4,6,0,12,2,2,3,0,7,2,2,3,0,7,2,4,6,0,12,1,1,1,0,3,4,6,10,0,20
