feature,importance
mean_per_side_B3,0.2940231594370002
naive_sum_B4,0.14304207011398665
mean_per_side_B2,0.12306772804129351
naive_sum_B3,0.1074816799810159
mean_per_side_B4,0.09026036575585003
naive_sum_B2,0.06637984929334699
mean_per_side_B1,0.03975248192558599
naive_sum_B1,0.03624510784593273
max_per_side_B3,0.031425750345625704
max_per_side_B2,0.02983052838816156
max_per_side_B4,0.021869777940855567
max_per_side_B1,0.015761566114044
n_sides,0.0008599348173010235
