method,acc_within1_pct,exact_profile_acc_pct,macro_class_MAE,total_count_MAE,total_count_within1_pct,n_fail,MAE_B1,MAE_B2,MAE_B3,MAE_B4,bias_B1,bias_B2,bias_B3,bias_B4
M53_three_band_override,90.24134312696746,26.128016789087095,0.30351521511017837,1.0398740818467995,75.44596012591815,93,0.1049317943336831,0.2193074501573977,0.5813221406086044,0.30849947534102834,0.060860440713536204,0.04302203567681007,0.023084994753410283,-0.023084994753410283
M52_two_band_override,89.92654774396642,26.33788037775446,0.304302203567681,1.036726128016789,75.7607555089192,96,0.1049317943336831,0.2203567681007345,0.5844700944386149,0.3074501573976915,0.060860440713536204,0.03777544596012592,0.007345225603357817,-0.040923399790136414
M31_side_aware_selector,89.29695697796433,26.652675760755507,0.3024658971668416,1.0272822665267576,75.97061909758656,102,0.11227701993704092,0.22875131164742918,0.5708289611752361,0.29800629590766003,0.07869884575026233,0.07135362014690451,0.0,-0.09024134312696747
M01,86.77859391395593,26.33788037775446,0.387722980062959,1.3704092339979013,74.18677859391396,126,0.18153200419727178,0.33997901364113325,0.7303252885624344,0.2990556138509968,0.15424973767051417,0.20146904512067157,0.23504721930745015,-0.0912906610703043
