tree_id,n_sides,n_total,class,naive,gt,ratio,class_frac
DAMIMAS_A21B_0042,4,15,B4,2,1,2.0,0.13333333333333333
DAMIMAS_A21B_0043,4,23,B1,3,2,1.5,0.13043478260869565
DAMIMAS_A21B_0043,4,23,B2,6,3,2.0,0.2608695652173913
DAMIMAS_A21B_0043,4,23,B3,14,6,2.3333333333333335,0.6086956521739131
DAMIMAS_A21B_0045,4,29,B1,2,1,2.0,0.06896551724137931
DAMIMAS_A21B_0045,4,29,B3,20,10,2.0,0.6896551724137931
DAMIMAS_A21B_0045,4,29,B4,7,4,1.75,0.2413793103448276
DAMIMAS_A21B_0049,4,13,B3,9,5,1.8,0.6923076923076923
DAMIMAS_A21B_0049,4,13,B4,4,3,1.3333333333333333,0.3076923076923077
DAMIMAS_A21B_0050,4,15,B1,4,2,2.0,0.26666666666666666
DAMIMAS_A21B_0050,4,15,B3,7,3,2.3333333333333335,0.4666666666666667
DAMIMAS_A21B_0050,4,15,B4,4,2,2.0,0.26666666666666666
DAMIMAS_A21B_0051,4,25,B2,2,1,2.0,0.08
DAMIMAS_A21B_0051,4,25,B3,17,9,1.8888888888888888,0.68
DAMIMAS_A21B_0051,4,25,B4,6,4,1.5,0.24
DAMIMAS_A21B_0052,4,25,B1,4,2,2.0,0.16
DAMIMAS_A21B_0052,4,25,B2,5,3,1.6666666666666667,0.2
DAMIMAS_A21B_0052,4,25,B3,15,9,1.6666666666666667,0.6
DAMIMAS_A21B_0052,4,25,B4,1,1,1.0,0.04
DAMIMAS_A21B_0053,4,15,B2,3,2,1.5,0.2
DAMIMAS_A21B_0053,4,15,B3,9,5,1.8,0.6
DAMIMAS_A21B_0053,4,15,B4,3,2,1.5,0.2
DAMIMAS_A21B_0055,4,22,B1,2,1,2.0,0.09090909090909091
DAMIMAS_A21B_0055,4,22,B2,5,3,1.6666666666666667,0.22727272727272727
DAMIMAS_A21B_0055,4,22,B3,13,7,1.8571428571428572,0.5909090909090909
DAMIMAS_A21B_0055,4,22,B4,2,2,1.0,0.09090909090909091
DAMIMAS_A21B_0056,4,15,B1,2,1,2.0,0.13333333333333333
DAMIMAS_A21B_0056,4,15,B2,2,1,2.0,0.13333333333333333
DAMIMAS_A21B_0056,4,15,B3,7,4,1.75,0.4666666666666667
DAMIMAS_A21B_0056,4,15,B4,4,2,2.0,0.26666666666666666
DAMIMAS_A21B_0057,4,24,B1,4,2,2.0,0.16666666666666666
DAMIMAS_A21B_0057,4,24,B2,2,1,2.0,0.08333333333333333
DAMIMAS_A21B_0057,4,24,B3,11,6,1.8333333333333333,0.4583333333333333
DAMIMAS_A21B_0057,4,24,B4,7,4,1.75,0.2916666666666667
DAMIMAS_A21B_0058,4,16,B1,3,1,3.0,0.1875
DAMIMAS_A21B_0058,4,16,B2,2,1,2.0,0.125
DAMIMAS_A21B_0058,4,16,B3,7,3,2.3333333333333335,0.4375
DAMIMAS_A21B_0058,4,16,B4,4,2,2.0,0.25
DAMIMAS_A21B_0061,4,21,B1,2,1,2.0,0.09523809523809523
DAMIMAS_A21B_0061,4,21,B3,17,8,2.125,0.8095238095238095
DAMIMAS_A21B_0061,4,21,B4,2,1,2.0,0.09523809523809523
DAMIMAS_A21B_0062,4,16,B2,6,2,3.0,0.375
DAMIMAS_A21B_0062,4,16,B3,7,3,2.3333333333333335,0.4375
DAMIMAS_A21B_0062,4,16,B4,3,2,1.5,0.1875
DAMIMAS_A21B_0064,4,13,B2,3,1,3.0,0.23076923076923078
DAMIMAS_A21B_0064,4,13,B3,10,5,2.0,0.7692307692307693
DAMIMAS_A21B_0065,4,25,B1,5,2,2.5,0.2
DAMIMAS_A21B_0065,4,25,B2,2,1,2.0,0.08
DAMIMAS_A21B_0065,4,25,B3,12,6,2.0,0.48
DAMIMAS_A21B_0065,4,25,B4,6,3,2.0,0.24
DAMIMAS_A21B_0066,4,27,B1,4,2,2.0,0.14814814814814814
DAMIMAS_A21B_0066,4,27,B2,4,2,2.0,0.14814814814814814
DAMIMAS_A21B_0066,4,27,B3,10,5,2.0,0.37037037037037035
DAMIMAS_A21B_0066,4,27,B4,9,5,1.8,0.3333333333333333
DAMIMAS_A21B_0067,4,25,B1,7,3,2.3333333333333335,0.28
DAMIMAS_A21B_0067,4,25,B2,2,1,2.0,0.08
DAMIMAS_A21B_0067,4,25,B3,13,7,1.8571428571428572,0.52
DAMIMAS_A21B_0067,4,25,B4,3,1,3.0,0.12
DAMIMAS_A21B_0068,4,18,B1,2,1,2.0,0.1111111111111111
DAMIMAS_A21B_0068,4,18,B2,7,4,1.75,0.3888888888888889
DAMIMAS_A21B_0068,4,18,B3,6,3,2.0,0.3333333333333333
DAMIMAS_A21B_0068,4,18,B4,3,2,1.5,0.16666666666666666
DAMIMAS_A21B_0069,4,19,B1,3,1,3.0,0.15789473684210525
DAMIMAS_A21B_0069,4,19,B2,2,1,2.0,0.10526315789473684
DAMIMAS_A21B_0069,4,19,B3,12,7,1.7142857142857142,0.631578947368421
DAMIMAS_A21B_0069,4,19,B4,2,1,2.0,0.10526315789473684
DAMIMAS_A21B_0070,4,17,B3,11,5,2.2,0.6470588235294118
DAMIMAS_A21B_0070,4,17,B4,6,3,2.0,0.35294117647058826
DAMIMAS_A21B_0071,4,18,B1,2,1,2.0,0.1111111111111111
DAMIMAS_A21B_0071,4,18,B2,3,1,3.0,0.16666666666666666
DAMIMAS_A21B_0071,4,18,B3,13,6,2.1666666666666665,0.7222222222222222
DAMIMAS_A21B_0072,4,22,B1,2,1,2.0,0.09090909090909091
DAMIMAS_A21B_0072,4,22,B2,6,3,2.0,0.2727272727272727
DAMIMAS_A21B_0072,4,22,B3,12,6,2.0,0.5454545454545454
DAMIMAS_A21B_0072,4,22,B4,2,1,2.0,0.09090909090909091
DAMIMAS_A21B_0074,2,4,B3,2,2,1.0,0.5
DAMIMAS_A21B_0074,2,4,B4,2,2,1.0,0.5
DAMIMAS_A21B_0075,4,31,B1,3,1,3.0,0.0967741935483871
DAMIMAS_A21B_0075,4,31,B2,4,2,2.0,0.12903225806451613
DAMIMAS_A21B_0075,4,31,B3,20,11,1.8181818181818181,0.6451612903225806
DAMIMAS_A21B_0075,4,31,B4,4,3,1.3333333333333333,0.12903225806451613
DAMIMAS_A21B_0077,4,17,B1,5,2,2.5,0.29411764705882354
DAMIMAS_A21B_0077,4,17,B3,12,7,1.7142857142857142,0.7058823529411765
DAMIMAS_A21B_0078,4,21,B1,2,1,2.0,0.09523809523809523
DAMIMAS_A21B_0078,4,21,B2,5,2,2.5,0.23809523809523808
DAMIMAS_A21B_0078,4,21,B3,12,6,2.0,0.5714285714285714
DAMIMAS_A21B_0078,4,21,B4,2,2,1.0,0.09523809523809523
DAMIMAS_A21B_0079,4,26,B2,7,4,1.75,0.2692307692307692
DAMIMAS_A21B_0079,4,26,B3,19,9,2.111111111111111,0.7307692307692307
DAMIMAS_A21B_0080,4,20,B1,2,1,2.0,0.1
DAMIMAS_A21B_0080,4,20,B2,4,2,2.0,0.2
DAMIMAS_A21B_0080,4,20,B3,6,3,2.0,0.3
DAMIMAS_A21B_0080,4,20,B4,8,5,1.6,0.4
DAMIMAS_A21B_0081,4,22,B1,2,2,1.0,0.09090909090909091
DAMIMAS_A21B_0081,4,22,B2,5,2,2.5,0.22727272727272727
DAMIMAS_A21B_0081,4,22,B3,10,5,2.0,0.45454545454545453
DAMIMAS_A21B_0081,4,22,B4,5,4,1.25,0.22727272727272727
DAMIMAS_A21B_0082,4,13,B2,6,3,2.0,0.46153846153846156
DAMIMAS_A21B_0082,4,13,B3,6,3,2.0,0.46153846153846156
DAMIMAS_A21B_0082,4,13,B4,1,1,1.0,0.07692307692307693
DAMIMAS_A21B_0083,4,21,B2,5,3,1.6666666666666667,0.23809523809523808
DAMIMAS_A21B_0083,4,21,B3,16,8,2.0,0.7619047619047619
DAMIMAS_A21B_0084,4,11,B3,11,5,2.2,1.0
DAMIMAS_A21B_0085,4,28,B2,6,2,3.0,0.21428571428571427
DAMIMAS_A21B_0085,4,28,B3,17,9,1.8888888888888888,0.6071428571428571
DAMIMAS_A21B_0085,4,28,B4,5,3,1.6666666666666667,0.17857142857142858
DAMIMAS_A21B_0086,4,19,B1,2,1,2.0,0.10526315789473684
DAMIMAS_A21B_0086,4,19,B2,2,1,2.0,0.10526315789473684
DAMIMAS_A21B_0086,4,19,B3,13,6,2.1666666666666665,0.6842105263157895
DAMIMAS_A21B_0086,4,19,B4,2,1,2.0,0.10526315789473684
DAMIMAS_A21B_0087,4,25,B1,2,1,2.0,0.08
DAMIMAS_A21B_0087,4,25,B2,5,3,1.6666666666666667,0.2
DAMIMAS_A21B_0087,4,25,B3,16,8,2.0,0.64
DAMIMAS_A21B_0087,4,25,B4,2,1,2.0,0.08
DAMIMAS_A21B_0090,4,10,B2,3,1,3.0,0.3
DAMIMAS_A21B_0090,4,10,B3,5,2,2.5,0.5
DAMIMAS_A21B_0090,4,10,B4,2,1,2.0,0.2
DAMIMAS_A21B_0091,4,20,B2,6,3,2.0,0.3
DAMIMAS_A21B_0091,4,20,B3,14,7,2.0,0.7
DAMIMAS_A21B_0093,4,18,B3,14,7,2.0,0.7777777777777778
DAMIMAS_A21B_0093,4,18,B4,4,2,2.0,0.2222222222222222
DAMIMAS_A21B_0095,4,15,B1,2,1,2.0,0.13333333333333333
DAMIMAS_A21B_0095,4,15,B2,8,4,2.0,0.5333333333333333
DAMIMAS_A21B_0095,4,15,B3,5,3,1.6666666666666667,0.3333333333333333
