method,acc_within1_pct,exact_profile_acc_pct,macro_class_MAE,total_count_MAE,total_count_within1_pct,n_fail,MAE_B1,MAE_B2,MAE_B3,MAE_B4,bias_B1,bias_B2,bias_B3,bias_B4
M31_side_aware_selector,89.29695697796433,26.652675760755507,0.3024658971668416,1.0272822665267576,75.97061909758656,102,0.11227701993704092,0.22875131164742918,0.5708289611752361,0.29800629590766003,0.07869884575026233,0.07135362014690451,0.0,-0.09024134312696747
M39_min_floor,88.7722980062959,28.01678908709339,0.29459601259181534,1.0482686253934943,75.65582371458552,107,0.08184679958027283,0.2266526757607555,0.5792235047219307,0.2906610703043022,0.01049317943336831,-0.03777544596012592,-0.14480587618048268,-0.12277019937040923
M35_median3_M31_M33_M30,88.7722980062959,26.23294858342078,0.3022035676810073,1.0346274921301155,75.02623294858341,107,0.1080797481636936,0.22770199370409233,0.5697796432318992,0.30325288562434416,0.05981112277019937,-0.03672612801678909,-0.017838405036726127,0.011542497376705142
M36_median3_M31_M33_M19,88.7722980062959,25.288562434417628,0.3111227701993704,1.0640083945435468,73.2423924449108,107,0.11122770199370409,0.229800629590766,0.5981112277019937,0.30535152151101785,0.07974816369359916,0.07660020986358866,0.07135362014690451,0.02833158447009444
M37_median5,88.7722980062959,25.70828961175236,0.30666316894018886,1.0461699895068206,74.29171038824764,107,0.11122770199370409,0.2266526757607555,0.583420776495278,0.30535152151101785,0.07974816369359916,0.06925498426023086,0.03147953830010493,0.02833158447009444
M40_max_floor,87.93284365162644,24.02938090241343,0.3216159496327387,1.0828961175236096,71.87827911857293,115,0.13011542497376705,0.23189926547743966,0.6180482686253935,0.30640083945435465,0.10912906610703044,0.07869884575026233,0.1080797481636936,0.03147953830010493
M38_mean_round,87.61804826862539,24.449108079748164,0.3184679958027283,1.074501573976915,72.92759706190975,118,0.1080797481636936,0.23084994753410285,0.6264428121720882,0.30849947534102834,0.05981112277019937,-0.01888772298006296,-0.01993704092339979,-0.023084994753410283
M33_refined_divide,87.40818467995803,25.603357817418676,0.3140083945435467,1.0713536201469045,72.82266526757608,120,0.10073452256033578,0.229800629590766,0.6264428121720882,0.2990556138509968,0.03987408184679958,-0.030430220356768102,-0.03672612801678909,-0.001049317943336831
M01,86.77859391395593,26.33788037775446,0.387722980062959,1.3704092339979013,74.18677859391396,126,0.18153200419727178,0.33997901364113325,0.7303252885624344,0.2990556138509968,0.15424973767051417,0.20146904512067157,0.23504721930745015,-0.0912906610703043
