class,MAE,bias,acc_pm1
B1,0.08421052631578947,-0.042105263157894736,1.0
B2,0.3368421052631579,-0.021052631578947368,0.9578947368421052
B3,0.5473684210526316,0.12631578947368421,0.9157894736842105
B4,0.30526315789473685,0.010526315789473684,0.968421052631579
