method,params,mean_MAE,acc_within_1_error,mean_total_error,score,n_trees
visibility,"{'alpha': 1.5, 'sigma': 0.12}",0.5285,71.49,2.11,66.21,228
stack_3,"{'corrected': 0.0, 'graph': 0.4, 'adaptive_ridge': 0.6}",0.4265,69.74,1.71,65.47,228
visibility,"{'alpha': 1.0, 'sigma': 0.15}",0.5208,70.61,2.08,65.41,228
stack_3,"{'corrected': 0.2, 'graph': 0.4, 'adaptive_ridge': 0.4}",0.4287,69.3,1.71,65.01,228
visibility,"{'alpha': 1.5, 'sigma': 0.25}",0.5121,69.3,2.05,64.18,228
visibility,"{'alpha': 2.0, 'sigma': 0.15}",0.5164,68.86,2.07,63.7,228
stack_3,"{'corrected': 0.2, 'graph': 0.2, 'adaptive_ridge': 0.8}",0.5647,68.86,2.26,63.21,228
stack_3,"{'corrected': 0.8, 'graph': 0.2, 'adaptive_ridge': 0.2}",0.5658,68.86,2.26,63.2,228
stack_3,"{'corrected': 0.0, 'graph': 0.2, 'adaptive_ridge': 1.0}",0.5603,68.42,2.24,62.82,228
stack_3,"{'corrected': 0.6, 'graph': 0.2, 'adaptive_ridge': 0.4}",0.568,67.54,2.27,61.86,228
stack_3,"{'corrected': 1.0, 'graph': 0.2, 'adaptive_ridge': 0.0}",0.5713,67.54,2.29,61.83,228
stack_3,"{'corrected': 0.4, 'graph': 0.2, 'adaptive_ridge': 0.6}",0.568,67.11,2.27,61.43,228
stack_3,"{'corrected': 0.6, 'graph': 0.0, 'adaptive_ridge': 0.2}",0.5548,63.6,2.22,58.05,228
stack_3,"{'corrected': 0.4, 'graph': 0.0, 'adaptive_ridge': 0.8}",0.5833,63.6,2.33,57.76,228
stack_3,"{'corrected': 0.4, 'graph': 0.0, 'adaptive_ridge': 0.4}",0.5581,63.16,2.23,57.58,228
stack_3,"{'corrected': 0.2, 'graph': 0.0, 'adaptive_ridge': 0.6}",0.5603,63.16,2.24,57.55,228
stack_3,"{'corrected': 0.8, 'graph': 0.0, 'adaptive_ridge': 0.0}",0.5636,62.72,2.25,57.08,228
stack_3,"{'corrected': 0.2, 'graph': 0.0, 'adaptive_ridge': 1.0}",0.5855,62.72,2.34,56.86,228
stack_3,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.8}",0.5724,62.28,2.29,56.56,228
visibility,"{'alpha': 1.5, 'sigma': 0.3}",0.5822,61.84,2.33,56.02,228
stack_3,"{'corrected': 0.6, 'graph': 0.4, 'adaptive_ridge': 0.2}",0.6535,62.28,2.61,55.75,228
stack_3,"{'corrected': 0.0, 'graph': 0.4, 'adaptive_ridge': 0.8}",0.6546,62.28,2.62,55.73,228
stack_3,"{'corrected': 0.6, 'graph': 0.0, 'adaptive_ridge': 0.6}",0.591,60.96,2.36,55.05,228
stack_3,"{'corrected': 0.4, 'graph': 0.4, 'adaptive_ridge': 0.4}",0.6524,61.4,2.61,54.88,228
stack_3,"{'corrected': 0.8, 'graph': 0.0, 'adaptive_ridge': 0.4}",0.591,60.53,2.36,54.62,228
stack_3,"{'corrected': 0.2, 'graph': 0.4, 'adaptive_ridge': 0.6}",0.6513,60.96,2.61,54.45,228
stack_3,"{'corrected': 0.8, 'graph': 0.4, 'adaptive_ridge': 0.0}",0.6612,60.96,2.64,54.35,228
