method,params,mean_MAE,acc_within_1_error,mean_total_error,score,n_trees
stack_3,"{'corrected': 0.4, 'graph': 0.2, 'adaptive_ridge': 0.8}",1.0833,25.44,4.33,14.61,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.66, 'rich_cluster': 0.33}",1.1272,25.88,4.51,14.61,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.66, 'visibility': 0.33, 'rich_cluster': 0.33}",1.1447,25.88,4.58,14.43,228
stack_5,"{'corrected': 0.66, 'graph': 0.33, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.33}",1.1623,25.44,4.65,13.82,228
graph_match,"{'tol_y': 0.1, 'tol_area': 0.02}",1.1645,25.44,4.66,13.79,228
stack_5,"{'corrected': 0.0, 'graph': 0.66, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.33}",1.2401,25.88,4.96,13.48,228
stack_3,"{'corrected': 0.6, 'graph': 0.2, 'adaptive_ridge': 0.6}",1.0833,24.12,4.33,13.29,228
stack_5,"{'corrected': 0.0, 'graph': 1.0, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.0}",1.1831,25.0,4.73,13.17,228
stack_5,"{'corrected': 0.0, 'graph': 0.66, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.33}",1.2292,25.44,4.92,13.15,228
graph_match,"{'tol_y': 0.08, 'tol_area': 0.02}",1.1469,24.56,4.59,13.09,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 0.33, 'rich_cluster': 0.33}",1.1546,24.56,4.62,13.02,228
rich_cluster_class_specific,"{'eps_b1b4': 0.15, 'eps_b2b3': 0.15, 'ms_b1b4': 1, 'ms_b2b3': 1, 'side_weight': 0.0}",1.1732,24.56,4.69,12.83,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 1.0}",1.1732,24.56,4.69,12.83,228
rich_cluster,"{'eps': 0.15, 'min_samples': 1, 'side_weight': 0.0}",1.1732,24.56,4.69,12.83,228
graph_match,"{'tol_y': 0.05, 'tol_area': 0.03}",1.1425,24.12,4.57,12.7,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.66, 'visibility': 0.0, 'rich_cluster': 0.33}",1.1754,24.12,4.7,12.37,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 1.0, 'visibility': 0.0, 'rich_cluster': 0.33}",1.1776,24.12,4.71,12.35,228
rich_cluster,"{'eps': 0.18, 'min_samples': 1, 'side_weight': 0.05}",1.1546,23.68,4.62,12.14,228
stack_3,"{'corrected': 0.8, 'graph': 0.2, 'adaptive_ridge': 0.4}",1.0877,22.81,4.35,11.93,228
stack_3,"{'corrected': 0.0, 'graph': 1.0, 'adaptive_ridge': 0.4}",1.2643,24.56,5.06,11.92,228
stack_5,"{'corrected': 0.66, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.33}",1.1645,23.25,4.66,11.6,228
stack_5,"{'corrected': 0.33, 'graph': 1.0, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.0}",1.1809,23.25,4.72,11.44,228
graph_match,"{'tol_y': 0.12, 'tol_area': 0.02}",1.1864,23.25,4.75,11.38,228
stack_5,"{'corrected': 0.33, 'graph': 0.66, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.33}",1.2478,23.68,4.99,11.21,228
rich_cluster,"{'eps': 0.18, 'min_samples': 1, 'side_weight': 0.0}",1.1316,22.37,4.53,11.05,228
stack_5,"{'corrected': 0.66, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.33}",1.1864,22.81,4.75,10.94,228
visibility,"{'alpha': 0.5, 'sigma': 0.15}",1.0636,21.49,4.25,10.86,228
graph_match,"{'tol_y': 0.15, 'tol_area': 0.02}",1.2083,22.81,4.83,10.72,228
rich_cluster_class_specific,"{'eps_b1b4': 0.15, 'eps_b2b3': 0.2, 'ms_b1b4': 1, 'ms_b2b3': 1, 'side_weight': 0.0}",1.2105,22.37,4.84,10.26,228
stack_3,"{'corrected': 1.0, 'graph': 0.2, 'adaptive_ridge': 0.2}",1.0921,21.05,4.37,10.13,228
stack_5,"{'corrected': 0.0, 'graph': 1.0, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.0}",1.1875,21.93,4.75,10.05,228
graph_match,"{'tol_y': 0.03, 'tol_area': 0.02}",1.1875,21.93,4.75,10.05,228
stack_3,"{'corrected': 0.2, 'graph': 1.0, 'adaptive_ridge': 0.2}",1.2708,22.37,5.08,9.66,228
rich_cluster,"{'eps': 0.15, 'min_samples': 2, 'side_weight': 0.0}",1.1502,20.61,4.6,9.11,228
stack_5,"{'corrected': 1.0, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.33}",1.1952,21.05,4.78,9.1,228
stack_3,"{'corrected': 0.4, 'graph': 1.0, 'adaptive_ridge': 0.0}",1.2741,21.49,5.1,8.75,228
rich_cluster,"{'eps': 0.18, 'min_samples': 2, 'side_weight': 0.0}",1.1107,19.74,4.44,8.63,228
stack_3,"{'corrected': 0.6, 'graph': 0.0, 'adaptive_ridge': 0.0}",1.0559,18.86,4.22,8.3,228
rich_cluster,"{'eps': 0.18, 'min_samples': 2, 'side_weight': 0.05}",1.1491,19.3,4.6,7.81,228
stack_3,"{'corrected': 0.4, 'graph': 0.0, 'adaptive_ridge': 1.0}",1.0713,18.42,4.29,7.71,228
stack_3,"{'corrected': 0.2, 'graph': 0.4, 'adaptive_ridge': 0.0}",1.1195,18.42,4.48,7.23,228
stack_3,"{'corrected': 0.6, 'graph': 0.0, 'adaptive_ridge': 0.8}",1.0768,17.98,4.31,7.21,228
visibility,"{'alpha': 1.0, 'sigma': 0.08}",1.1645,18.86,4.66,7.21,228
stack_3,"{'corrected': 0.4, 'graph': 0.2, 'adaptive_ridge': 0.0}",1.0833,17.98,4.33,7.15,228
rich_cluster_class_specific,"{'eps_b1b4': 0.15, 'eps_b2b3': 0.2, 'ms_b1b4': 1, 'ms_b2b3': 1, 'side_weight': 0.05}",1.2346,19.3,4.94,6.95,228
visibility,"{'alpha': 4.0, 'sigma': 0.15}",1.1064,17.98,4.43,6.92,228
stack_3,"{'corrected': 0.8, 'graph': 0.0, 'adaptive_ridge': 0.6}",1.0702,17.54,4.28,6.84,228
stack_3,"{'corrected': 1.0, 'graph': 0.0, 'adaptive_ridge': 0.4}",1.0724,17.54,4.29,6.82,228
stack_3,"{'corrected': 0.0, 'graph': 0.6, 'adaptive_ridge': 0.0}",1.2127,18.86,4.85,6.73,228
rich_cluster,"{'eps': 0.15, 'min_samples': 1, 'side_weight': 0.05}",1.3158,19.74,5.26,6.58,228
rich_cluster_class_specific,"{'eps_b1b4': 0.15, 'eps_b2b3': 0.15, 'ms_b1b4': 1, 'ms_b2b3': 1, 'side_weight': 0.05}",1.3158,19.74,5.26,6.58,228
rich_cluster,"{'eps': 0.18, 'min_samples': 1, 'side_weight': 0.1}",1.3169,19.74,5.27,6.57,228
stack_3,"{'corrected': 0.4, 'graph': 0.0, 'adaptive_ridge': 0.2}",1.0614,17.11,4.25,6.49,228
rich_cluster_class_specific,"{'eps_b1b4': 0.12, 'eps_b2b3': 0.15, 'ms_b1b4': 1, 'ms_b2b3': 1, 'side_weight': 0.0}",1.2467,18.86,4.99,6.39,228
stack_3,"{'corrected': 0.2, 'graph': 0.0, 'adaptive_ridge': 0.4}",1.0548,16.67,4.22,6.12,228
stack_3,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.6}",1.057,16.67,4.23,6.1,228
stack_3,"{'corrected': 0.0, 'graph': 0.4, 'adaptive_ridge': 0.2}",1.1316,17.11,4.53,5.79,228
rich_cluster_class_specific,"{'eps_b1b4': 0.15, 'eps_b2b3': 0.15, 'ms_b1b4': 1, 'ms_b2b3': 2, 'side_weight': 0.0}",1.2697,18.42,5.08,5.72,228
stack_3,"{'corrected': 0.2, 'graph': 0.2, 'adaptive_ridge': 0.2}",1.0822,16.23,4.33,5.41,228
stack_3,"{'corrected': 0.0, 'graph': 0.2, 'adaptive_ridge': 0.4}",1.0855,15.79,4.34,4.93,228
rich_cluster_class_specific,"{'eps_b1b4': 0.12, 'eps_b2b3': 0.2, 'ms_b1b4': 1, 'ms_b2b3': 1, 'side_weight': 0.0}",1.284,17.54,5.14,4.7,228
visibility,"{'alpha': 3.0, 'sigma': 0.2}",1.1031,15.35,4.41,4.32,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.66}",1.4386,18.42,5.75,4.04,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.66, 'rich_cluster': 0.66}",1.3673,17.54,5.47,3.87,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 0.33, 'rich_cluster': 0.66}",1.3871,17.54,5.55,3.67,228
rich_cluster_class_specific,"{'eps_b1b4': 0.15, 'eps_b2b3': 0.2, 'ms_b1b4': 1, 'ms_b2b3': 2, 'side_weight': 0.0}",1.3026,16.67,5.21,3.64,228
rich_cluster,"{'eps': 0.12, 'min_samples': 1, 'side_weight': 0.0}",1.3564,17.11,5.43,3.54,228
rich_cluster_class_specific,"{'eps_b1b4': 0.08, 'eps_b2b3': 0.15, 'ms_b1b4': 1, 'ms_b2b3': 1, 'side_weight': 0.0}",1.3224,16.67,5.29,3.44,228
rich_cluster_class_specific,"{'eps_b1b4': 0.12, 'eps_b2b3': 0.15, 'ms_b1b4': 1, 'ms_b2b3': 1, 'side_weight': 0.05}",1.3706,17.11,5.48,3.4,228
rich_cluster_class_specific,"{'eps_b1b4': 0.12, 'eps_b2b3': 0.2, 'ms_b1b4': 1, 'ms_b2b3': 1, 'side_weight': 0.05}",1.2895,16.23,5.16,3.33,228
graph_match,"{'tol_y': 0.08, 'tol_area': 0.03}",1.3421,16.67,5.37,3.25,228
stack_3,"{'corrected': 0.0, 'graph': 0.8, 'adaptive_ridge': 0.8}",1.534,18.42,6.14,3.08,228
rich_cluster,"{'eps': 0.15, 'min_samples': 2, 'side_weight': 0.05}",1.2796,15.79,5.12,2.99,228
graph_match,"{'tol_y': 0.05, 'tol_area': 0.05}",1.2917,15.79,5.17,2.87,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.66}",1.4265,17.11,5.71,2.84,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.66}",1.3947,16.67,5.58,2.72,228
rich_cluster_class_specific,"{'eps_b1b4': 0.08, 'eps_b2b3': 0.2, 'ms_b1b4': 1, 'ms_b2b3': 1, 'side_weight': 0.0}",1.3596,15.79,5.44,2.19,228
stack_3,"{'corrected': 0.2, 'graph': 0.8, 'adaptive_ridge': 0.6}",1.5362,17.54,6.14,2.18,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.66}",1.4134,16.23,5.65,2.09,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.66, 'visibility': 0.0, 'rich_cluster': 0.66}",1.4156,16.23,5.66,2.07,228
rich_cluster,"{'eps': 0.18, 'min_samples': 2, 'side_weight': 0.1}",1.2862,14.91,5.14,2.05,228
rich_cluster_class_specific,"{'eps_b1b4': 0.15, 'eps_b2b3': 0.2, 'ms_b1b4': 1, 'ms_b2b3': 2, 'side_weight': 0.05}",1.3421,15.35,5.37,1.93,228
stack_5,"{'corrected': 0.33, 'graph': 0.33, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.66}",1.4452,15.79,5.78,1.34,228
stack_3,"{'corrected': 0.6, 'graph': 0.8, 'adaptive_ridge': 0.2}",1.5406,16.67,6.16,1.26,228
stack_3,"{'corrected': 0.4, 'graph': 0.8, 'adaptive_ridge': 0.4}",1.5406,16.67,6.16,1.26,228
stack_3,"{'corrected': 0.8, 'graph': 0.8, 'adaptive_ridge': 0.0}",1.5417,16.67,6.17,1.25,228
y_bin,{'y_tol': 0.03},1.375,14.91,5.5,1.16,228
rich_cluster,"{'eps': 0.12, 'min_samples': 2, 'side_weight': 0.0}",1.3147,14.04,5.26,0.89,228
rich_cluster_class_specific,"{'eps_b1b4': 0.08, 'eps_b2b3': 0.15, 'ms_b1b4': 1, 'ms_b2b3': 1, 'side_weight': 0.05}",1.4485,15.35,5.79,0.87,228
rich_cluster_class_specific,"{'eps_b1b4': 0.08, 'eps_b2b3': 0.2, 'ms_b1b4': 1, 'ms_b2b3': 1, 'side_weight': 0.05}",1.3673,14.47,5.47,0.8,228
stack_5,"{'corrected': 0.66, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.66}",1.42,14.91,5.68,0.71,228
rich_cluster_class_specific,"{'eps_b1b4': 0.12, 'eps_b2b3': 0.15, 'ms_b1b4': 1, 'ms_b2b3': 2, 'side_weight': 0.0}",1.3432,14.04,5.37,0.6,228
rich_cluster_class_specific,"{'eps_b1b4': 0.15, 'eps_b2b3': 0.15, 'ms_b1b4': 1, 'ms_b2b3': 2, 'side_weight': 0.05}",1.4123,14.47,5.65,0.35,228
visibility,"{'alpha': 0.5, 'sigma': 0.12}",1.2423,12.72,4.97,0.3,228
rich_cluster_class_specific,"{'eps_b1b4': 0.12, 'eps_b2b3': 0.2, 'ms_b1b4': 1, 'ms_b2b3': 2, 'side_weight': 0.0}",1.3761,14.04,5.5,0.27,228
graph_match,"{'tol_y': 0.1, 'tol_area': 0.03}",1.3947,13.6,5.58,-0.35,228
graph_match,"{'tol_y': 0.05, 'tol_area': 0.08}",1.4627,13.6,5.85,-1.03,228
rich_cluster_class_specific,"{'eps_b1b4': 0.08, 'eps_b2b3': 0.15, 'ms_b1b4': 1, 'ms_b2b3': 2, 'side_weight': 0.0}",1.4189,13.16,5.68,-1.03,228
rich_cluster_class_specific,"{'eps_b1b4': 0.12, 'eps_b2b3': 0.2, 'ms_b1b4': 1, 'ms_b2b3': 2, 'side_weight': 0.05}",1.3969,12.72,5.59,-1.25,228
feature_cluster,"{'eps': 0.05, 'min_samples': 1}",1.4452,13.16,5.78,-1.29,228
stack_3,"{'corrected': 0.6, 'graph': 1.0, 'adaptive_ridge': 0.0}",1.6228,14.91,6.49,-1.32,228
stack_3,"{'corrected': 0.2, 'graph': 0.6, 'adaptive_ridge': 0.8}",1.5417,14.04,6.17,-1.38,228
stack_3,"{'corrected': 0.0, 'graph': 0.6, 'adaptive_ridge': 1.0}",1.5439,14.04,6.18,-1.4,228
stack_3,"{'corrected': 0.4, 'graph': 1.0, 'adaptive_ridge': 0.2}",1.6195,14.47,6.48,-1.72,228
graph_match,"{'tol_y': 0.05, 'tol_area': 0.1}",1.4934,12.72,5.97,-2.21,228
stack_3,"{'corrected': 0.0, 'graph': 1.0, 'adaptive_ridge': 0.6}",1.6261,14.04,6.5,-2.23,228
stack_3,"{'corrected': 0.2, 'graph': 1.0, 'adaptive_ridge': 0.4}",1.6261,14.04,6.5,-2.23,228
rich_cluster_class_specific,"{'eps_b1b4': 0.12, 'eps_b2b3': 0.15, 'ms_b1b4': 1, 'ms_b2b3': 2, 'side_weight': 0.05}",1.4671,12.28,5.87,-2.39,228
rich_cluster_class_specific,"{'eps_b1b4': 0.08, 'eps_b2b3': 0.2, 'ms_b1b4': 1, 'ms_b2b3': 2, 'side_weight': 0.0}",1.4518,11.84,5.81,-2.68,228
rich_cluster_class_specific,"{'eps_b1b4': 0.15, 'eps_b2b3': 0.1, 'ms_b1b4': 1, 'ms_b2b3': 1, 'side_weight': 0.0}",1.4726,11.84,5.89,-2.88,228
graph_match,"{'tol_y': 0.12, 'tol_area': 0.03}",1.4353,11.4,5.74,-2.95,228
visibility,"{'alpha': 3.0, 'sigma': 0.25}",1.2193,9.21,4.88,-2.98,228
stack_5,"{'corrected': 0.0, 'graph': 1.0, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.33}",1.4945,11.84,5.98,-3.1,228
stack_5,"{'corrected': 0.0, 'graph': 1.0, 'adaptive_ridge': 0.0, 'visibility': 0.66, 'rich_cluster': 0.0}",1.7072,13.6,6.83,-3.48,228
stack_5,"{'corrected': 0.0, 'graph': 0.66, 'adaptive_ridge': 0.0, 'visibility': 1.0, 'rich_cluster': 0.0}",1.6294,12.72,6.52,-3.57,228
stack_5,"{'corrected': 0.33, 'graph': 1.0, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.0}",1.727,13.6,6.91,-3.67,228
stack_3,"{'corrected': 0.4, 'graph': 0.6, 'adaptive_ridge': 0.6}",1.5526,11.84,6.21,-3.68,228
stack_3,"{'corrected': 0.6, 'graph': 0.6, 'adaptive_ridge': 0.4}",1.5548,11.84,6.22,-3.71,228
graph_match,"{'tol_y': 0.15, 'tol_area': 0.03}",1.4726,10.96,5.89,-3.76,228
rich_cluster_class_specific,"{'eps_b1b4': 0.08, 'eps_b2b3': 0.2, 'ms_b1b4': 1, 'ms_b2b3': 2, 'side_weight': 0.05}",1.4748,10.96,5.9,-3.78,228
stack_5,"{'corrected': 0.0, 'graph': 1.0, 'adaptive_ridge': 0.33, 'visibility': 0.33, 'rich_cluster': 0.0}",1.7346,13.16,6.94,-4.19,228
stack_5,"{'corrected': 0.0, 'graph': 0.66, 'adaptive_ridge': 1.0, 'visibility': 0.0, 'rich_cluster': 0.0}",1.7018,12.72,6.81,-4.3,228
stack_3,"{'corrected': 0.8, 'graph': 0.6, 'adaptive_ridge': 0.2}",1.5559,10.96,6.22,-4.59,228
stack_5,"{'corrected': 0.0, 'graph': 0.66, 'adaptive_ridge': 0.33, 'visibility': 0.66, 'rich_cluster': 0.0}",1.6557,11.84,6.62,-4.71,228
rich_cluster,"{'eps': 0.15, 'min_samples': 2, 'side_weight': 0.1}",1.4572,9.65,5.83,-4.92,228
stack_5,"{'corrected': 0.0, 'graph': 0.66, 'adaptive_ridge': 0.66, 'visibility': 0.33, 'rich_cluster': 0.0}",1.6809,11.84,6.72,-4.97,228
stack_3,"{'corrected': 1.0, 'graph': 0.6, 'adaptive_ridge': 0.0}",1.5592,10.53,6.24,-5.07,228
rich_cluster,"{'eps': 0.15, 'min_samples': 1, 'side_weight': 0.1}",1.5625,10.53,6.25,-5.1,228
feature_cluster,"{'eps': 0.05, 'min_samples': 2}",1.4342,9.21,5.74,-5.13,228
stack_5,"{'corrected': 0.33, 'graph': 0.66, 'adaptive_ridge': 0.0, 'visibility': 0.66, 'rich_cluster': 0.0}",1.6623,11.4,6.65,-5.22,228
visibility,"{'alpha': 3.0, 'sigma': 0.3}",1.2763,7.46,5.11,-5.31,228
stack_5,"{'corrected': 0.0, 'graph': 1.0, 'adaptive_ridge': 0.66, 'visibility': 0.0, 'rich_cluster': 0.0}",1.7599,12.28,7.04,-5.32,228
rich_cluster_class_specific,"{'eps_b1b4': 0.08, 'eps_b2b3': 0.15, 'ms_b1b4': 1, 'ms_b2b3': 2, 'side_weight': 0.05}",1.545,10.09,6.18,-5.36,228
stack_5,"{'corrected': 0.33, 'graph': 1.0, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.0}",1.7664,12.28,7.07,-5.38,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 1.0}",1.7456,11.84,6.98,-5.61,228
rich_cluster_class_specific,"{'eps_b1b4': 0.12, 'eps_b2b3': 0.1, 'ms_b1b4': 1, 'ms_b2b3': 1, 'side_weight': 0.0}",1.5461,9.65,6.18,-5.81,228
stack_5,"{'corrected': 0.66, 'graph': 1.0, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.0}",1.7708,11.84,7.08,-5.87,228
rich_cluster,"{'eps': 0.12, 'min_samples': 2, 'side_weight': 0.05}",1.4814,8.77,5.93,-6.04,228
rich_cluster_class_specific,"{'eps_b1b4': 0.15, 'eps_b2b3': 0.1, 'ms_b1b4': 1, 'ms_b2b3': 2, 'side_weight': 0.0}",1.4923,8.77,5.97,-6.15,228
stack_5,"{'corrected': 0.66, 'graph': 0.66, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.0}",1.6864,10.53,6.75,-6.34,228
stack_5,"{'corrected': 0.33, 'graph': 0.66, 'adaptive_ridge': 0.33, 'visibility': 0.33, 'rich_cluster': 0.0}",1.6897,10.53,6.76,-6.37,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 1.0}",1.739,10.96,6.96,-6.43,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 1.0}",1.7456,10.96,6.98,-6.49,228
stack_5,"{'corrected': 0.33, 'graph': 0.66, 'adaptive_ridge': 0.66, 'visibility': 0.0, 'rich_cluster': 0.0}",1.7171,10.53,6.87,-6.64,228
rich_cluster,"{'eps': 0.1, 'min_samples': 2, 'side_weight': 0.0}",1.4561,7.89,5.82,-6.67,228
stack_3,"{'corrected': 0.4, 'graph': 0.4, 'adaptive_ridge': 0.8}",1.5976,9.21,6.39,-6.77,228
stack_3,"{'corrected': 0.2, 'graph': 0.4, 'adaptive_ridge': 1.0}",1.5998,9.21,6.4,-6.79,228
stack_5,"{'corrected': 0.66, 'graph': 0.66, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.0}",1.716,10.09,6.86,-7.07,228
stack_3,"{'corrected': 1.0, 'graph': 0.4, 'adaptive_ridge': 0.2}",1.6031,8.77,6.41,-7.26,228
stack_3,"{'corrected': 0.8, 'graph': 0.4, 'adaptive_ridge': 0.4}",1.6053,8.77,6.42,-7.28,228
stack_3,"{'corrected': 0.6, 'graph': 0.4, 'adaptive_ridge': 0.6}",1.6107,8.77,6.44,-7.34,228
rich_cluster,"{'eps': 0.1, 'min_samples': 1, 'side_weight': 0.0}",1.5746,8.33,6.3,-7.41,228
stack_5,"{'corrected': 1.0, 'graph': 0.66, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.0}",1.7171,9.65,6.87,-7.52,228
graph_match,"{'tol_y': 0.08, 'tol_area': 0.05}",1.5855,8.33,6.34,-7.52,228
rich_cluster_class_specific,"{'eps_b1b4': 0.12, 'eps_b2b3': 0.1, 'ms_b1b4': 1, 'ms_b2b3': 2, 'side_weight': 0.0}",1.5658,7.89,6.26,-7.76,228
rich_cluster_class_specific,"{'eps_b1b4': 0.08, 'eps_b2b3': 0.1, 'ms_b1b4': 1, 'ms_b2b3': 1, 'side_weight': 0.0}",1.6217,8.33,6.49,-7.88,228
visibility,"{'alpha': 4.0, 'sigma': 0.2}",1.42,6.14,5.68,-8.06,228
stack_5,"{'corrected': 0.0, 'graph': 0.66, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.66}",1.6195,7.89,6.48,-8.3,228
stack_3,"{'corrected': 0.4, 'graph': 0.2, 'adaptive_ridge': 1.0}",1.6118,7.46,6.45,-8.66,228
visibility,"{'alpha': 0.5, 'sigma': 0.08}",1.5713,7.02,6.29,-8.7,228
stack_3,"{'corrected': 0.6, 'graph': 0.2, 'adaptive_ridge': 0.8}",1.6151,7.46,6.46,-8.7,228
graph_match,"{'tol_y': 0.1, 'tol_area': 0.05}",1.659,7.46,6.64,-9.13,228
stack_3,"{'corrected': 0.8, 'graph': 0.2, 'adaptive_ridge': 0.6}",1.6195,7.02,6.48,-9.18,228
rich_cluster_class_specific,"{'eps_b1b4': 0.08, 'eps_b2b3': 0.1, 'ms_b1b4': 1, 'ms_b2b3': 2, 'side_weight': 0.0}",1.6414,7.02,6.57,-9.4,228
rich_cluster,"{'eps': 0.12, 'min_samples': 1, 'side_weight': 0.05}",1.6195,6.58,6.48,-9.62,228
stack_3,"{'corrected': 1.0, 'graph': 0.2, 'adaptive_ridge': 0.4}",1.625,6.58,6.5,-9.67,228
rich_cluster,"{'eps': 0.08, 'min_samples': 2, 'side_weight': 0.0}",1.591,6.14,6.36,-9.77,228
stack_3,"{'corrected': 0.6, 'graph': 0.0, 'adaptive_ridge': 1.0}",1.6371,6.58,6.55,-9.79,228
rich_cluster_class_specific,"{'eps_b1b4': 0.15, 'eps_b2b3': 0.1, 'ms_b1b4': 1, 'ms_b2b3': 2, 'side_weight': 0.05}",1.6941,7.02,6.78,-9.92,228
stack_3,"{'corrected': 0.0, 'graph': 0.4, 'adaptive_ridge': 0.0}",1.6721,6.58,6.69,-10.14,228
stack_3,"{'corrected': 0.8, 'graph': 0.0, 'adaptive_ridge': 0.8}",1.6469,6.14,6.59,-10.33,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.33}",1.5241,4.82,6.1,-10.42,228
y_bin,{'y_tol': 0.05},1.7336,6.58,6.93,-10.76,228
stack_3,"{'corrected': 1.0, 'graph': 0.0, 'adaptive_ridge': 0.6}",1.6535,5.7,6.61,-10.83,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.66, 'visibility': 1.0, 'rich_cluster': 0.0}",1.7346,6.14,6.94,-11.21,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.33, 'visibility': 1.0, 'rich_cluster': 0.0}",1.6941,5.7,6.78,-11.24,228
graph_match,"{'tol_y': 0.08, 'tol_area': 0.08}",1.7401,6.14,6.96,-11.26,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 1.0, 'visibility': 0.66, 'rich_cluster': 0.0}",1.7456,6.14,6.98,-11.32,228
rich_cluster_class_specific,"{'eps_b1b4': 0.12, 'eps_b2b3': 0.1, 'ms_b1b4': 1, 'ms_b2b3': 2, 'side_weight': 0.05}",1.7489,6.14,7.0,-11.35,228
graph_match,"{'tol_y': 0.08, 'tol_area': 0.1}",1.7555,6.14,7.02,-11.41,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.66, 'visibility': 0.66, 'rich_cluster': 0.0}",1.7215,5.7,6.89,-11.51,228
rich_cluster,"{'eps': 0.1, 'min_samples': 2, 'side_weight': 0.05}",1.636,4.82,6.54,-11.54,228
stack_5,"{'corrected': 0.33, 'graph': 0.33, 'adaptive_ridge': 0.33, 'visibility': 0.66, 'rich_cluster': 0.0}",1.7248,5.7,6.9,-11.55,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 1.0, 'visibility': 0.33, 'rich_cluster': 0.0}",1.7456,5.7,6.98,-11.75,228
graph_match,"{'tol_y': 0.12, 'tol_area': 0.05}",1.7083,5.26,6.83,-11.82,228
visibility,"{'alpha': 4.0, 'sigma': 0.25}",1.5768,3.95,6.31,-11.82,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.66, 'visibility': 0.66, 'rich_cluster': 0.0}",1.7533,5.7,7.01,-11.83,228
