tree_id,split,B1_gt,B2_gt,B3_gt,B4_gt,B1_pred,B2_pred,B3_pred,B4_pred,MAE,total_gt,total_pred,within_1,error_sum,err_B1,err_B2,err_B3,err_B4,selected_method,unstable_gate,B1_ratio,B2_ratio,B3_ratio,B4_ratio
DAMIMAS_A21B_0244,train,0,0,0,7,0,0,0,9,0.5,7,9,False,2,0,0,0,2,adaptive_corrected,True,0.0,0.0,0.0,3.75
DAMIMAS_A21B_0263,train,0,7,3,1,0,9,3,1,0.5,11,13,False,2,0,2,0,0,class_aware_vis,True,0.0,3.5,2.5,2.0
DAMIMAS_A21B_0045,train,1,0,10,4,1,0,12,5,0.75,15,18,False,3,0,0,2,1,adaptive_corrected,False,2.0,0.0,3.3333,2.3333
DAMIMAS_A21B_0546,test,2,5,4,5,2,7,4,5,0.5,16,18,False,2,0,2,0,0,adaptive_corrected,True,2.0,2.75,2.3333,2.6667
DAMIMAS_A21B_0547,test,1,5,6,0,1,7,7,0,0.75,12,15,False,3,0,2,1,0,class_aware_vis,True,2.0,2.75,2.75,0.0
DAMIMAS_A21B_0557,test,1,1,3,4,2,1,5,5,1.0,9,13,False,4,1,0,2,1,adaptive_corrected,True,3.0,2.0,3.0,2.6667
DAMIMAS_A21B_0558,test,0,3,4,3,0,5,5,4,1.0,10,14,False,4,0,2,1,1,adaptive_corrected,False,0.0,4.0,3.0,3.0
DAMIMAS_A21B_0569,test,2,2,4,6,3,2,4,4,0.75,14,13,False,3,1,0,0,2,best_visibility_grid,True,2.5,2.0,4.0,3.5
DAMIMAS_A21B_0574,test,0,0,3,2,0,0,5,2,0.5,5,7,False,2,0,0,2,0,adaptive_corrected,True,0.0,0.0,3.0,4.0
