tree_id,split,selected_method,unstable_gate,total_det,B1_ratio,B2_ratio,B3_ratio,B4_ratio,B4_yrange,d_ac_bvg_B3,d_ac_cag_B2,B1_pred,B2_pred,B3_pred,B4_pred,B1_gt,B2_gt,B3_gt,B4_gt
DAMIMAS_A21B_0619,train,adaptive_corrected,False,26,2.75,2.5,3.3333,0.0,0.0,1,0,6,3,6,0,6,4,6,0
DAMIMAS_A21B_0044,train,adaptive_corrected,False,16,4.0,2.0,2.6667,2.0,0.0068,0,0,2,1,4,1,2,1,4,1
DAMIMAS_A21B_0620,train,adaptive_corrected,False,25,2.0,2.0,3.2,3.0,0.0585,0,0,2,1,9,2,2,1,9,2
DAMIMAS_A21B_0045,train,adaptive_corrected,False,29,2.0,0.0,3.3333,2.3333,0.0997,1,0,1,0,12,5,1,0,10,4
DAMIMAS_A21B_0621,train,adaptive_corrected,False,27,2.5,3.0,3.25,1.5,0.0244,1,0,3,4,8,2,3,3,8,2
DAMIMAS_A21B_0622,train,adaptive_corrected,False,24,4.0,3.3333,3.0,2.0,0.1492,0,0,2,6,3,3,2,6,3,2
DAMIMAS_A21B_0623,train,adaptive_corrected,False,23,2.0,3.0,3.3333,0.0,0.0,1,0,2,5,6,0,2,5,5,0
DAMIMAS_A21B_0624,train,adaptive_corrected,False,23,3.0,1.0,3.0,2.0,0.0469,0,0,3,1,7,3,3,1,8,2
DAMIMAS_A21B_0625,train,best_visibility_grid,True,27,0.0,2.5,3.2,3.0,0.2031,1,0,0,3,9,3,0,3,9,3
DAMIMAS_A21B_0626,train,adaptive_corrected,False,25,2.0,4.0,3.5,2.6667,0.1205,0,0,1,5,4,5,1,4,4,5
DAMIMAS_A21B_0627,train,best_visibility_grid,True,17,1.5,2.3333,3.5,0.0,0.0,0,0,2,4,4,0,2,4,4,0
DAMIMAS_A21B_0628,train,adaptive_corrected,False,22,0.0,4.0,3.0,3.0,0.1156,0,0,0,2,7,4,0,2,7,3
DAMIMAS_A21B_0629,train,adaptive_corrected,False,18,4.0,0.0,3.0,2.0,0.0672,0,0,2,0,7,1,2,0,6,1
DAMIMAS_A21B_0630,train,adaptive_corrected,False,23,2.0,3.0,3.0,3.0,0.072,0,0,1,5,3,4,1,5,3,3
