tree_id,split,has_json,n_dets,n_sides,naive_B1,naive_B2,naive_B3,naive_B4,naive_total,corrected_B1,corrected_B2,corrected_B3,corrected_B4,corrected_total,feature_cluster_B1,feature_cluster_B2,feature_cluster_B3,feature_cluster_B4,feature_cluster_total,visibility_B1,visibility_B2,visibility_B3,visibility_B4,visibility_total,learned_graph_B1,learned_graph_B2,learned_graph_B3,learned_graph_B4,learned_graph_total,hungarian_match_B1,hungarian_match_B2,hungarian_match_B3,hungarian_match_B4,hungarian_match_total,cascade_match_B1,cascade_match_B2,cascade_match_B3,cascade_match_B4,cascade_match_total
DAMIMAS_A21B_0343,nonjson,False,18,4,4,8,6,0,18,2,4,3,0,9,1,1,1,0,3,2,4,3,0,9,1,1,1,0,3,2,3,3,0,8,1,1,1,0,3
DAMIMAS_A21B_0344,nonjson,False,21,4,0,7,6,8,21,0,4,3,5,12,0,1,1,1,3,0,4,3,4,11,0,1,1,1,3,0,3,2,4,9,0,1,1,1,3
DAMIMAS_A21B_0345,nonjson,False,15,4,2,4,7,2,15,1,2,4,1,8,1,1,1,1,4,1,2,4,1,8,1,1,1,2,5,1,1,2,2,6,1,1,1,1,4
DAMIMAS_A21B_0346,nonjson,False,23,4,3,2,10,8,23,2,1,6,5,14,1,1,1,1,4,2,1,5,4,12,1,1,1,1,4,1,1,4,2,8,1,1,1,1,4
DAMIMAS_A21B_0347,nonjson,False,18,4,5,8,4,1,18,3,4,2,1,10,1,1,1,1,4,3,4,2,1,10,1,1,1,1,4,2,2,2,1,7,1,1,1,1,4
DAMIMAS_A21B_0348,nonjson,False,21,4,5,3,5,8,21,3,2,3,5,13,1,1,1,1,4,3,2,3,4,12,1,1,1,1,4,2,1,2,2,7,1,1,1,1,4
DAMIMAS_A21B_0349,nonjson,False,9,4,1,2,2,4,9,1,1,1,2,5,1,1,1,1,4,1,1,1,2,5,1,1,2,1,5,1,1,2,2,6,1,1,1,1,4
DAMIMAS_A21B_0350,nonjson,False,10,3,3,2,5,0,10,2,1,3,0,6,1,1,1,0,3,2,1,3,0,6,1,2,1,0,4,1,2,2,0,5,1,1,1,0,3
DAMIMAS_A21B_0351,nonjson,False,25,4,4,10,10,1,25,2,6,6,1,15,1,1,1,1,4,2,5,5,1,13,1,1,1,1,4,2,4,2,1,9,1,1,1,1,4
DAMIMAS_A21B_0352,nonjson,False,25,4,4,5,7,9,25,2,3,4,5,14,1,1,1,1,4,2,3,4,5,14,1,1,1,1,4,1,2,2,2,7,1,1,1,1,4
DAMIMAS_A21B_0353,nonjson,False,18,4,5,4,9,0,18,3,2,5,0,10,1,1,1,0,3,3,2,5,0,10,1,1,1,0,3,1,2,2,0,5,1,1,1,0,3
DAMIMAS_A21B_0354,nonjson,False,32,4,2,4,25,1,32,1,2,14,1,18,1,1,1,1,4,1,2,13,1,17,1,2,1,1,5,1,3,8,1,13,1,1,1,1,4
DAMIMAS_A21B_0355,nonjson,False,24,4,5,9,8,2,24,3,5,4,1,13,1,1,1,1,4,3,5,4,1,13,1,1,1,2,5,2,2,3,2,9,1,1,1,1,4
DAMIMAS_A21B_0356,nonjson,False,19,4,5,5,5,4,19,3,3,3,2,11,1,1,1,1,4,3,3,3,2,11,1,1,1,1,4,2,2,2,2,8,1,1,1,1,4
DAMIMAS_A21B_0357,nonjson,False,22,4,0,4,15,3,22,0,2,8,2,12,0,1,1,1,3,0,2,8,2,12,0,1,1,1,3,0,2,2,1,5,0,1,1,1,3
DAMIMAS_A21B_0358,nonjson,False,28,4,2,2,14,10,28,1,1,8,6,16,1,1,1,1,4,1,1,7,5,14,1,1,1,1,4,1,1,4,4,10,1,1,1,1,4
DAMIMAS_A21B_0359,nonjson,False,22,4,6,5,9,2,22,3,3,5,1,12,1,1,1,1,4,3,3,5,1,12,1,1,1,1,4,2,2,2,1,7,1,2,1,1,5
DAMIMAS_A21B_0360,nonjson,False,30,4,9,4,6,11,30,5,2,3,7,17,1,1,1,1,4,5,2,3,6,16,1,1,1,1,4,4,2,4,3,13,1,1,1,1,4
DAMIMAS_A21B_0361,nonjson,False,24,4,4,4,10,6,24,2,2,6,4,14,1,1,1,2,5,2,2,5,3,12,1,1,1,6,9,1,3,5,6,15,1,2,2,2,7
DAMIMAS_A21B_0362,nonjson,False,26,4,2,2,16,6,26,1,1,9,4,15,1,1,1,1,4,1,1,8,3,13,1,2,1,1,5,1,2,3,3,9,1,1,1,1,4
DAMIMAS_A21B_0363,nonjson,False,15,4,0,11,2,2,15,0,6,1,1,8,0,1,1,1,3,0,6,1,1,8,0,1,1,2,4,0,3,1,2,6,0,1,1,1,3
DAMIMAS_A21B_0364,nonjson,False,27,4,4,9,9,5,27,2,5,5,3,15,1,1,1,1,4,2,5,5,3,15,1,1,1,1,4,2,3,3,3,11,1,1,1,1,4
DAMIMAS_A21B_0365,nonjson,False,27,4,2,5,16,4,27,1,3,9,2,15,1,1,1,1,4,1,3,8,2,14,2,1,1,1,5,2,3,4,2,11,1,1,1,1,4
DAMIMAS_A21B_0366,nonjson,False,15,4,0,0,11,4,15,0,0,6,2,8,0,0,1,1,2,0,0,6,2,8,0,0,1,1,2,0,0,3,2,5,0,0,1,1,2
DAMIMAS_A21B_0367,nonjson,False,19,4,1,8,8,2,19,1,4,4,1,10,1,1,1,1,4,1,4,4,1,10,1,1,1,2,5,1,3,4,2,10,1,1,1,1,4
DAMIMAS_A21B_0368,nonjson,False,29,4,8,3,10,8,29,4,2,6,5,17,1,1,1,1,4,4,2,5,4,15,1,1,1,1,4,2,1,2,1,6,1,1,1,1,4
DAMIMAS_A21B_0369,nonjson,False,14,4,2,2,7,3,14,1,1,4,2,8,1,1,1,1,4,1,1,4,2,8,1,2,1,1,5,1,2,3,1,7,1,1,1,1,4
DAMIMAS_A21B_0370,nonjson,False,18,4,4,1,9,4,18,2,1,5,2,10,1,1,1,1,4,2,1,5,2,10,1,1,1,1,4,2,1,4,2,9,1,1,1,1,4
DAMIMAS_A21B_0371,nonjson,False,21,4,2,8,11,0,21,1,4,6,0,11,1,1,1,0,3,1,4,6,0,11,1,1,1,0,3,1,2,3,0,6,1,1,1,0,3
DAMIMAS_A21B_0372,nonjson,False,19,4,4,4,4,7,19,2,2,2,4,10,1,1,1,1,4,2,2,2,4,10,1,1,1,1,4,2,2,2,2,8,1,1,1,1,4
DAMIMAS_A21B_0373,nonjson,False,22,4,6,3,10,3,22,3,2,6,2,13,1,1,1,1,4,3,2,5,2,12,1,1,1,1,4,1,2,2,1,6,1,1,1,1,4
DAMIMAS_A21B_0374,nonjson,False,28,4,2,2,15,9,28,1,1,8,5,15,1,1,1,1,4,1,1,8,5,15,1,1,1,1,4,1,1,5,4,11,1,1,1,1,4
DAMIMAS_A21B_0375,nonjson,False,20,4,3,9,8,0,20,2,5,4,0,11,1,1,1,0,3,2,5,4,0,11,1,1,1,0,3,1,4,1,0,6,1,1,1,0,3
DAMIMAS_A21B_0376,nonjson,False,19,4,2,4,7,6,19,1,2,4,4,11,1,1,1,1,4,1,2,4,3,10,1,1,1,1,4,1,2,2,2,7,1,1,1,1,4
DAMIMAS_A21B_0377,nonjson,False,15,4,1,0,13,1,15,1,0,7,1,9,1,0,1,1,3,1,0,7,1,9,1,0,1,1,3,1,0,1,1,3,1,0,1,1,3
DAMIMAS_A21B_0378,nonjson,False,26,4,5,3,11,7,26,3,2,6,4,15,1,1,1,1,4,3,2,6,4,15,1,1,1,1,4,2,1,5,3,11,1,1,1,1,4
DAMIMAS_A21B_0379,nonjson,False,9,4,4,5,0,0,9,2,3,0,0,5,1,1,0,0,2,2,3,0,0,5,1,1,0,0,2,1,1,0,0,2,1,1,0,0,2
DAMIMAS_A21B_0380,nonjson,False,23,4,3,7,3,10,23,2,4,2,6,14,1,1,1,1,4,2,4,2,5,13,1,1,1,1,4,1,2,1,1,5,1,1,1,1,4
DAMIMAS_A21B_0381,nonjson,False,22,4,6,0,11,5,22,3,0,6,3,12,1,0,1,1,3,3,0,6,3,12,1,0,1,1,3,1,0,4,3,8,1,0,1,1,3
DAMIMAS_A21B_0382,nonjson,False,28,4,4,2,8,14,28,2,1,4,8,15,1,1,1,1,4,2,1,4,7,14,1,1,1,1,4,1,1,2,4,8,1,1,1,1,4
DAMIMAS_A21B_0383,nonjson,False,24,4,4,10,8,2,24,2,6,4,1,13,1,1,1,1,4,2,5,4,1,12,1,1,1,1,4,2,4,4,1,11,1,1,2,1,5
DAMIMAS_A21B_0384,nonjson,False,25,4,4,8,6,7,25,2,4,3,4,13,1,1,1,1,4,2,4,3,4,13,1,1,1,1,4,1,3,2,4,10,1,1,1,1,4
DAMIMAS_A21B_0385,nonjson,False,26,4,2,4,14,6,26,1,2,8,4,15,2,1,1,1,5,1,2,7,3,13,2,2,1,1,6,2,3,3,3,11,2,1,1,1,5
DAMIMAS_A21B_0386,nonjson,False,7,3,0,3,4,0,7,0,2,2,0,4,0,1,1,0,2,0,2,2,0,4,0,1,1,0,2,0,2,2,0,4,0,1,1,0,2
DAMIMAS_A21B_0387,nonjson,False,15,4,5,9,1,0,15,3,5,1,0,9,1,1,1,0,3,3,5,1,0,9,1,1,1,0,3,2,2,1,0,5,1,1,1,0,3
DAMIMAS_A21B_0388,nonjson,False,19,4,2,6,6,5,19,1,3,3,3,10,1,1,1,1,4,1,3,3,3,10,1,1,1,1,4,1,2,2,2,7,1,1,1,1,4
DAMIMAS_A21B_0389,nonjson,False,25,4,1,4,16,4,25,1,2,9,2,14,1,1,1,1,4,1,2,8,2,13,1,1,1,1,4,1,2,5,1,9,1,1,1,1,4
DAMIMAS_A21B_0390,nonjson,False,30,4,2,5,11,12,30,1,3,6,7,17,1,1,1,1,4,1,3,6,6,16,1,1,1,2,5,1,3,3,4,11,1,1,1,1,4
DAMIMAS_A21B_0391,nonjson,False,16,4,4,11,1,0,16,2,6,1,0,9,1,1,1,0,3,2,6,1,0,9,1,1,1,0,3,1,3,1,0,5,1,1,1,0,3
DAMIMAS_A21B_0392,nonjson,False,23,4,4,8,6,5,23,2,4,3,3,12,1,1,1,1,4,2,4,3,3,12,1,1,1,1,4,1,2,3,2,8,1,1,1,1,4
DAMIMAS_A21B_0393,nonjson,False,24,4,2,6,13,3,24,1,3,7,2,13,1,1,1,1,4,1,3,7,2,13,1,1,1,1,4,1,4,5,1,11,1,1,1,1,4
DAMIMAS_A21B_0394,nonjson,False,25,4,3,3,9,10,25,2,2,5,6,15,1,1,1,1,4,2,2,5,5,14,1,1,1,1,4,1,2,2,4,9,1,1,1,1,4
DAMIMAS_A21B_0395,nonjson,False,21,4,6,10,5,0,21,3,6,3,0,12,1,1,1,0,3,3,5,3,0,11,1,1,1,0,3,2,5,2,0,9,1,2,2,0,5
DAMIMAS_A21B_0396,nonjson,False,25,4,6,7,7,5,25,3,4,4,3,14,1,1,1,1,4,3,4,4,3,14,1,1,1,1,4,2,1,2,2,7,1,1,1,1,4
DAMIMAS_A21B_0397,nonjson,False,19,4,2,3,11,3,19,1,2,6,2,11,1,1,1,1,4,1,2,6,2,11,1,1,1,2,5,1,2,4,2,9,1,1,1,2,5
DAMIMAS_A21B_0398,nonjson,False,25,4,4,4,12,5,25,2,2,7,3,14,1,1,1,1,4,2,2,6,3,13,1,1,1,1,4,2,2,3,1,8,1,1,1,1,4
DAMIMAS_A21B_0399,nonjson,False,17,4,6,7,3,1,17,3,4,2,1,10,1,1,1,1,4,3,4,2,1,10,1,1,3,1,6,2,1,3,1,7,1,1,1,1,4
DAMIMAS_A21B_0400,nonjson,False,19,4,0,9,2,8,19,0,5,1,5,11,0,1,1,1,3,0,5,1,4,10,0,1,1,1,3,0,2,1,3,6,0,1,1,1,3
DAMIMAS_A21B_0401,nonjson,False,16,4,0,0,13,3,16,0,0,7,2,9,0,0,1,1,2,0,0,7,2,9,0,0,1,1,2,0,0,4,1,5,0,0,1,1,2
DAMIMAS_A21B_0402,nonjson,False,18,4,0,1,12,5,18,0,1,7,3,11,0,1,1,1,3,0,1,6,3,10,0,1,1,1,3,0,1,3,2,6,0,1,1,1,3
DAMIMAS_A21B_0403,nonjson,False,24,4,4,9,8,3,24,2,5,4,2,13,1,1,1,1,4,2,5,4,2,13,1,1,1,1,4,2,3,3,1,9,1,1,1,1,4
DAMIMAS_A21B_0404,nonjson,False,15,4,7,4,4,0,15,4,2,2,0,8,1,1,1,0,3,4,2,2,0,8,1,1,1,0,3,3,1,2,0,6,1,1,1,0,3
DAMIMAS_A21B_0405,nonjson,False,13,4,1,4,7,1,13,1,2,4,1,8,1,1,1,1,4,1,2,4,1,8,1,1,1,1,4,1,2,2,1,6,1,1,1,1,4
DAMIMAS_A21B_0406,nonjson,False,17,4,2,1,10,4,17,1,1,6,2,10,1,1,1,1,4,1,1,5,2,9,1,1,1,1,4,1,1,3,2,7,1,1,1,1,4
DAMIMAS_A21B_0407,nonjson,False,23,4,3,8,10,2,23,2,4,6,1,13,1,1,1,1,4,2,4,5,1,12,1,1,1,1,4,1,2,2,1,6,1,1,1,1,4
DAMIMAS_A21B_0408,nonjson,False,21,4,6,8,7,0,21,3,4,4,0,11,1,1,1,0,3,3,4,4,0,11,1,1,1,0,3,3,3,2,0,8,1,1,1,0,3
DAMIMAS_A21B_0409,nonjson,False,15,4,5,1,9,0,15,3,1,5,0,9,1,1,1,0,3,3,1,5,0,9,1,1,1,0,3,2,1,2,0,5,1,1,1,0,3
DAMIMAS_A21B_0410,nonjson,False,31,4,5,2,18,6,31,3,1,10,4,18,1,1,1,1,4,3,1,9,3,16,1,2,1,1,5,2,2,4,1,9,1,1,1,1,4
DAMIMAS_A21B_0411,nonjson,False,23,4,4,10,9,0,23,2,6,5,0,13,1,1,2,0,4,2,5,5,0,12,1,1,2,0,4,1,3,3,0,7,1,1,2,0,4
DAMIMAS_A21B_0412,nonjson,False,16,4,2,9,4,1,16,1,5,2,1,9,1,1,1,1,4,1,5,2,1,9,1,2,1,1,5,1,4,2,1,8,1,1,1,1,4
DAMIMAS_A21B_0413,nonjson,False,26,4,2,3,14,7,26,1,2,8,4,15,1,1,1,1,4,1,2,8,4,15,1,1,1,1,4,1,2,5,3,11,1,1,1,1,4
DAMIMAS_A21B_0414,nonjson,False,13,4,0,0,13,0,13,0,0,7,0,7,0,0,1,0,1,0,0,7,0,7,0,0,1,0,1,0,0,4,0,4,0,0,1,0,1
DAMIMAS_A21B_0415,nonjson,False,21,4,3,9,9,0,21,2,5,5,0,12,1,1,1,0,3,2,5,5,0,12,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3
DAMIMAS_A21B_0416,nonjson,False,25,4,3,8,9,5,25,2,4,5,3,14,1,1,1,1,4,2,4,5,3,14,1,1,1,1,4,2,2,2,2,8,1,1,1,1,4
DAMIMAS_A21B_0417,nonjson,False,25,4,3,4,13,5,25,2,2,7,3,14,1,1,1,1,4,2,2,7,3,14,1,1,1,1,4,1,1,3,2,7,1,1,2,1,5
DAMIMAS_A21B_0418,nonjson,False,27,4,0,2,13,12,27,0,1,7,7,15,0,1,1,1,3,0,1,7,6,14,0,1,1,1,3,0,1,3,2,6,0,1,1,1,3
DAMIMAS_A21B_0419,nonjson,False,23,4,0,10,10,3,23,0,6,6,2,14,0,1,1,1,3,0,5,5,2,12,0,1,1,1,3,0,2,1,1,4,0,1,1,1,3
DAMIMAS_A21B_0420,nonjson,False,6,4,0,5,1,0,6,0,3,1,0,4,0,1,1,0,2,0,3,1,0,4,0,1,1,0,2,0,2,1,0,3,0,1,1,0,2
DAMIMAS_A21B_0422,nonjson,False,21,4,3,0,8,10,21,2,0,4,6,12,1,0,1,1,3,2,0,4,5,11,1,0,1,1,3,1,0,2,3,6,1,0,1,1,3
DAMIMAS_A21B_0423,nonjson,False,22,4,3,9,7,3,22,2,5,4,2,13,1,1,1,1,4,2,5,4,2,13,1,1,1,1,4,2,3,3,1,9,1,1,1,1,4
DAMIMAS_A21B_0424,nonjson,False,15,4,6,2,7,0,15,3,1,4,0,8,1,1,1,0,3,3,1,4,0,8,1,1,1,0,3,2,2,1,0,5,1,2,1,0,4
DAMIMAS_A21B_0425,nonjson,False,20,4,0,5,13,2,20,0,3,7,1,11,0,1,1,1,3,0,3,7,1,11,0,1,1,2,4,0,3,4,2,9,0,1,1,1,3
DAMIMAS_A21B_0426,nonjson,False,17,4,0,0,13,4,17,0,0,7,2,9,0,0,1,1,2,0,0,7,2,9,0,0,1,1,2,0,0,3,2,5,0,0,1,1,2
DAMIMAS_A21B_0427,nonjson,False,26,4,1,14,10,1,26,1,8,6,1,16,1,1,1,1,4,1,7,5,1,14,1,1,1,1,4,1,4,2,1,8,1,1,1,1,4
DAMIMAS_A21B_0428,nonjson,False,27,4,6,5,7,9,27,3,3,4,5,15,1,1,1,1,4,3,3,4,5,15,1,1,1,1,4,2,1,4,4,11,1,1,1,1,4
DAMIMAS_A21B_0429,nonjson,False,36,4,4,7,16,9,36,2,4,9,5,20,1,1,1,1,4,2,4,9,5,20,1,1,1,1,4,2,4,4,4,14,1,1,1,1,4
DAMIMAS_A21B_0430,nonjson,False,22,4,0,2,14,6,22,0,1,8,4,13,0,1,1,1,3,0,1,7,3,11,0,1,1,1,3,0,1,3,3,7,0,1,1,1,3
DAMIMAS_A21B_0431,nonjson,False,14,4,0,7,7,0,14,0,4,4,0,8,0,1,1,0,2,0,4,4,0,8,0,1,1,0,2,0,2,2,0,4,0,1,1,0,2
DAMIMAS_A21B_0432,nonjson,False,14,4,0,5,7,2,14,0,3,4,1,8,0,1,1,1,3,0,3,4,1,8,0,1,1,2,4,0,2,2,2,6,0,1,1,1,3
DAMIMAS_A21B_0433,nonjson,False,20,4,5,1,14,0,20,3,1,8,0,12,1,1,1,0,3,3,1,7,0,11,1,1,1,0,3,1,1,4,0,6,1,1,1,0,3
DAMIMAS_A21B_0434,nonjson,False,24,4,0,5,14,5,24,0,3,8,3,14,0,1,1,1,3,0,3,7,3,13,0,1,1,1,3,0,2,5,3,10,0,1,1,1,3
DAMIMAS_A21B_0435,nonjson,False,15,4,5,6,4,0,15,3,3,2,0,8,1,1,1,0,3,3,3,2,0,8,1,1,1,0,3,2,1,1,0,4,1,1,1,0,3
DAMIMAS_A21B_0436,nonjson,False,21,4,3,7,5,6,21,2,4,3,4,13,1,1,1,1,4,2,4,3,3,12,1,1,1,1,4,2,3,2,3,10,1,1,1,1,4
DAMIMAS_A21B_0437,nonjson,False,27,4,4,5,12,6,27,2,3,7,4,16,2,1,1,2,6,2,3,6,3,14,2,4,2,3,11,3,4,6,4,17,2,2,2,2,8
DAMIMAS_A21B_0438,nonjson,False,27,4,0,0,13,14,27,0,0,7,8,15,0,0,1,1,2,0,0,7,7,14,0,0,1,1,2,0,0,1,2,3,0,0,1,1,2
DAMIMAS_A21B_0439,nonjson,False,10,4,1,8,1,0,10,1,4,1,0,6,1,1,1,0,3,1,4,1,0,6,1,1,1,0,3,1,2,1,0,4,1,1,1,0,3
DAMIMAS_A21B_0440,nonjson,False,23,4,0,7,10,6,23,0,4,6,4,14,0,1,1,1,3,0,4,5,3,12,0,1,1,1,3,0,3,3,1,7,0,1,1,1,3
DAMIMAS_A21B_0441,nonjson,False,21,4,2,4,13,2,21,1,2,7,1,11,1,1,1,1,4,1,2,7,1,11,1,1,1,2,5,1,3,3,2,9,1,1,1,1,4
DAMIMAS_A21B_0442,nonjson,False,23,4,0,2,10,11,23,0,1,6,7,14,0,1,1,1,3,0,1,5,6,12,0,1,1,1,3,0,1,4,1,6,0,1,1,1,3
DAMIMAS_A21B_0443,nonjson,False,20,4,2,8,8,2,20,1,4,4,1,10,1,1,1,1,4,1,4,4,1,10,1,1,1,1,4,1,3,4,1,9,1,1,1,1,4
DAMIMAS_A21B_0444,nonjson,False,16,4,4,1,5,6,16,2,1,3,4,10,1,1,1,1,4,2,1,3,3,9,1,1,1,1,4,2,1,3,2,8,1,1,1,1,4
DAMIMAS_A21B_0445,nonjson,False,18,4,3,3,8,4,18,2,2,4,2,10,1,1,1,1,4,2,2,4,2,10,1,3,1,1,6,1,3,2,1,7,1,1,1,1,4
DAMIMAS_A21B_0446,nonjson,False,19,4,3,3,11,2,19,2,2,6,1,11,1,1,1,1,4,2,2,6,1,11,1,3,1,1,6,1,3,4,1,9,1,1,1,1,4
DAMIMAS_A21B_0447,nonjson,False,23,4,0,10,9,4,23,0,6,5,2,13,0,1,1,1,3,0,5,5,2,12,0,1,1,1,3,0,2,3,1,6,0,1,1,1,3
DAMIMAS_A21B_0448,nonjson,False,18,4,2,5,7,4,18,1,3,4,2,10,1,1,1,1,4,1,3,4,2,10,1,1,1,1,4,1,2,3,2,8,1,1,1,1,4
DAMIMAS_A21B_0449,nonjson,False,23,4,0,5,17,1,23,0,3,9,1,13,0,1,1,1,3,0,3,9,1,13,0,1,1,1,3,0,2,6,1,9,0,1,1,1,3
DAMIMAS_A21B_0450,nonjson,False,25,4,2,2,10,11,25,1,1,6,7,15,1,1,1,1,4,1,1,5,6,13,1,2,1,1,5,1,2,2,3,8,1,1,1,1,4
DAMIMAS_A21B_0451,nonjson,False,17,4,2,8,5,2,17,1,4,3,1,9,1,1,1,1,4,1,4,3,1,9,1,1,1,1,4,1,4,3,1,9,1,1,1,1,4
DAMIMAS_A21B_0452,nonjson,False,22,4,8,1,5,8,22,4,1,3,5,13,1,1,1,1,4,4,1,3,4,12,1,1,1,1,4,1,1,2,3,7,1,1,1,1,4
DAMIMAS_A21B_0453,nonjson,False,19,4,2,3,12,2,19,1,2,7,1,11,2,1,1,2,6,1,2,6,1,10,2,3,2,2,9,2,3,5,2,12,2,1,2,2,7
DAMIMAS_A21B_0454,nonjson,False,23,4,0,5,8,10,23,0,3,4,6,13,0,1,1,1,3,0,3,4,5,12,0,1,1,1,3,0,1,3,4,8,0,1,1,1,3
DAMIMAS_A21B_0455,nonjson,False,21,4,0,11,8,2,21,0,6,4,1,11,0,1,1,1,3,0,6,4,1,11,0,1,1,1,3,0,1,2,1,4,0,1,1,1,3
DAMIMAS_A21B_0456,nonjson,False,20,4,5,3,6,6,20,3,2,3,4,12,1,1,1,1,4,3,2,3,3,11,1,1,1,1,4,2,1,3,3,9,1,1,1,1,4
DAMIMAS_A21B_0457,nonjson,False,26,4,3,4,14,5,26,2,2,8,3,15,1,1,1,1,4,2,2,7,3,14,1,1,1,1,4,1,2,5,2,10,1,1,1,2,5
DAMIMAS_A21B_0458,nonjson,False,21,4,0,4,11,6,21,0,2,6,4,12,0,1,1,1,3,0,2,6,3,11,0,1,1,1,3,0,2,4,2,8,0,1,1,1,3
DAMIMAS_A21B_0459,nonjson,False,18,4,6,9,3,0,18,3,5,2,0,10,1,1,1,0,3,3,5,2,0,10,1,1,1,0,3,2,1,1,0,4,1,1,1,0,3
DAMIMAS_A21B_0460,nonjson,False,24,4,4,6,8,6,24,2,3,4,4,13,1,1,1,1,4,2,3,4,3,12,1,1,1,1,4,2,2,2,2,8,1,1,1,1,4
DAMIMAS_A21B_0461,nonjson,False,18,4,0,4,14,0,18,0,2,8,0,10,0,1,1,0,2,0,2,7,0,9,0,1,1,0,2,0,2,3,0,5,0,1,1,0,2
DAMIMAS_A21B_0462,nonjson,False,20,4,6,0,11,3,20,3,0,6,2,11,1,0,1,1,3,3,0,6,2,11,1,0,1,1,3,1,0,2,2,5,1,0,1,1,3
DAMIMAS_A21B_0463,nonjson,False,20,4,3,9,7,1,20,2,5,4,1,12,1,1,1,1,4,2,5,4,1,12,1,1,1,1,4,1,3,3,1,8,1,1,1,1,4
DAMIMAS_A21B_0464,nonjson,False,15,4,5,3,4,3,15,3,2,2,2,9,1,1,1,1,4,3,2,2,2,9,1,1,1,1,4,2,2,1,2,7,1,1,1,1,4
DAMIMAS_A21B_0465,nonjson,False,13,4,5,3,4,1,13,3,2,2,1,8,1,1,1,1,4,3,2,2,1,8,1,1,1,1,4,2,1,2,1,6,1,1,1,1,4
DAMIMAS_A21B_0466,nonjson,False,11,4,0,0,8,3,11,0,0,4,2,6,0,0,1,1,2,0,0,4,2,6,0,0,1,1,2,0,0,3,2,5,0,0,1,1,2
DAMIMAS_A21B_0467,nonjson,False,17,4,3,8,5,1,17,2,4,3,1,10,1,1,1,1,4,2,4,3,1,10,2,1,1,1,5,2,3,2,1,8,2,1,1,1,5
DAMIMAS_A21B_0468,nonjson,False,20,4,4,2,7,7,20,2,1,4,4,11,1,1,1,1,4,2,1,4,4,11,1,1,1,1,4,1,1,3,2,7,1,1,1,1,4
DAMIMAS_A21B_0469,nonjson,False,20,4,0,5,11,4,20,0,3,6,2,11,0,1,1,1,3,0,3,6,2,11,0,1,1,1,3,0,1,3,1,5,0,1,1,1,3
DAMIMAS_A21B_0470,nonjson,False,22,4,4,7,6,5,22,2,4,3,3,12,1,1,1,1,4,2,4,3,3,12,1,1,1,1,4,2,4,3,2,11,1,1,1,1,4
DAMIMAS_A21B_0471,nonjson,False,26,4,3,10,10,3,26,2,6,6,2,16,1,1,1,1,4,2,5,5,2,14,1,1,1,1,4,1,4,3,2,10,1,1,1,1,4
DAMIMAS_A21B_0472,nonjson,False,24,4,0,8,7,9,24,0,4,4,5,13,0,1,1,1,3,0,4,4,5,13,0,1,1,1,3,0,3,3,2,8,0,1,1,1,3
DAMIMAS_A21B_0473,nonjson,False,11,4,3,2,6,0,11,2,1,3,0,6,2,1,1,0,4,2,1,3,0,6,2,1,1,0,4,3,1,1,0,5,3,1,1,0,5
DAMIMAS_A21B_0474,nonjson,False,22,4,4,4,8,6,22,2,2,4,4,12,1,1,1,1,4,2,2,4,3,11,1,1,1,1,4,1,2,4,4,11,1,1,1,1,4
DAMIMAS_A21B_0475,nonjson,False,19,4,0,11,6,2,19,0,6,3,1,10,0,1,1,1,3,0,6,3,1,10,0,1,1,1,3,0,3,1,1,5,0,1,1,1,3
DAMIMAS_A21B_0476,nonjson,False,16,4,0,6,7,3,16,0,3,4,2,9,0,1,1,1,3,0,3,4,2,9,0,1,1,1,3,0,2,1,2,5,0,1,1,1,3
DAMIMAS_A21B_0477,nonjson,False,10,4,0,0,9,1,10,0,0,5,1,6,0,0,1,1,2,0,0,5,1,6,0,0,1,1,2,0,0,3,1,4,0,0,1,1,2
DAMIMAS_A21B_0478,nonjson,False,27,4,6,3,8,10,27,3,2,4,6,15,1,1,1,1,4,3,2,4,5,14,1,1,1,1,4,3,2,3,2,10,1,1,1,1,4
DAMIMAS_A21B_0479,nonjson,False,20,4,1,9,7,3,20,1,5,4,2,12,1,1,1,1,4,1,5,4,2,12,1,1,1,1,4,1,2,2,1,6,1,1,1,1,4
DAMIMAS_A21B_0480,nonjson,False,23,4,3,5,6,9,23,2,3,3,5,13,1,1,1,1,4,2,3,3,5,13,1,1,1,1,4,1,2,1,3,7,1,1,1,1,4
DAMIMAS_A21B_0481,nonjson,False,13,4,1,3,8,1,13,1,2,4,1,8,1,1,1,1,4,1,2,4,1,8,1,1,1,1,4,1,2,2,1,6,1,1,1,1,4
DAMIMAS_A21B_0482,nonjson,False,24,4,2,5,7,10,24,1,3,4,6,14,2,1,1,1,5,1,3,4,5,13,2,1,1,4,8,2,2,3,7,14,2,1,1,1,5
DAMIMAS_A21B_0483,nonjson,False,20,4,4,9,5,2,20,2,5,3,1,11,1,1,1,1,4,2,5,3,1,11,4,3,1,1,9,4,6,3,1,14,2,2,1,1,6
DAMIMAS_A21B_0484,nonjson,False,18,4,2,7,4,5,18,1,4,2,3,10,1,1,1,1,4,1,4,2,3,10,1,2,1,1,5,1,3,2,3,9,1,2,1,2,6
DAMIMAS_A21B_0485,nonjson,False,20,4,2,4,11,3,20,1,2,6,2,11,1,1,1,1,4,1,2,6,2,11,1,1,1,1,4,1,2,3,1,7,1,1,1,1,4
