tree_id,split,has_json,n_dets,n_sides,naive_B1,naive_B2,naive_B3,naive_B4,naive_total,corrected_B1,corrected_B2,corrected_B3,corrected_B4,corrected_total,feature_cluster_B1,feature_cluster_B2,feature_cluster_B3,feature_cluster_B4,feature_cluster_total,visibility_B1,visibility_B2,visibility_B3,visibility_B4,visibility_total,learned_graph_B1,learned_graph_B2,learned_graph_B3,learned_graph_B4,learned_graph_total,hungarian_match_B1,hungarian_match_B2,hungarian_match_B3,hungarian_match_B4,hungarian_match_total,cascade_match_B1,cascade_match_B2,cascade_match_B3,cascade_match_B4,cascade_match_total
DAMIMAS_A21B_0246,train,True,21,4,1,6,9,5,21,1,3,5,3,12,1,2,1,2,6,1,3,5,3,12,1,3,1,2,7,1,5,5,4,15,1,2,2,2,7
DAMIMAS_A21B_0247,train,True,20,4,5,11,4,0,20,3,6,2,0,11,1,1,1,0,3,3,6,2,0,11,1,1,1,0,3,2,3,1,0,6,2,1,2,0,5
DAMIMAS_A21B_0248,train,True,18,4,2,6,6,4,18,1,3,3,2,9,1,1,1,1,4,1,3,3,2,9,1,1,1,2,5,1,3,3,2,9,1,2,2,1,6
DAMIMAS_A21B_0249,train,True,16,4,0,1,15,0,16,0,1,8,0,9,0,1,1,0,2,0,1,8,0,9,0,1,1,0,2,0,1,4,0,5,0,1,1,0,2
DAMIMAS_A21B_0250,train,True,29,4,2,2,8,17,29,1,1,4,10,16,1,1,1,1,4,1,1,4,9,15,2,2,1,1,6,2,2,2,1,7,1,1,1,1,4
DAMIMAS_A21B_0251,train,True,22,4,3,11,7,1,22,2,6,4,1,13,1,1,1,1,4,2,6,4,1,13,1,1,1,1,4,1,2,1,1,5,1,1,1,1,4
DAMIMAS_A21B_0252,train,True,13,4,0,5,5,3,13,0,3,3,2,8,0,1,1,1,3,0,3,3,2,8,0,1,1,1,3,0,1,2,2,5,0,1,1,1,3
DAMIMAS_A21B_0253,train,True,10,4,0,3,7,0,10,0,2,4,0,6,0,1,1,0,2,0,2,4,0,6,0,1,1,0,2,0,2,2,0,4,0,1,2,0,3
DAMIMAS_A21B_0254,train,True,20,4,1,3,10,6,20,1,2,6,4,13,1,1,1,1,4,1,2,5,3,11,1,1,1,1,4,1,2,5,3,11,1,1,2,1,5
DAMIMAS_A21B_0255,train,True,17,4,1,8,8,0,17,1,4,4,0,9,1,1,1,0,3,1,4,4,0,9,1,1,1,0,3,1,2,3,0,6,1,1,1,0,3
