method,params,mean_MAE,acc_within_1_error,mean_total_error,score,n_trees
per_class_ridge,{'alpha': 1.0},0.2741,90.79,1.1,88.05,228
ensemble,"{'lg': 0.0, 'hm': 0.0, 'cm': 0.0, 'ridge': 1.0}",0.2741,90.79,1.1,88.05,228
ensemble,"{'lg': 0.25, 'hm': 0.0, 'cm': 0.0, 'ridge': 1.0}",0.3026,89.47,1.21,86.45,228
ensemble,"{'lg': 0.0, 'hm': 0.0, 'cm': 0.25, 'ridge': 1.0}",0.3158,89.04,1.26,85.88,228
ensemble,"{'lg': 0.0, 'hm': 0.25, 'cm': 0.0, 'ridge': 0.75}",0.3366,85.09,1.35,81.72,228
ensemble,"{'lg': 0.25, 'hm': 0.25, 'cm': 0.0, 'ridge': 0.75}",0.3706,84.21,1.48,80.5,228
ensemble,"{'lg': 0.0, 'hm': 0.25, 'cm': 0.25, 'ridge': 0.75}",0.3761,84.21,1.5,80.45,228
ensemble,"{'lg': 0.0, 'hm': 0.5, 'cm': 0.0, 'ridge': 0.75}",0.4112,82.46,1.64,78.34,228
ensemble,"{'lg': 0.0, 'hm': 0.25, 'cm': 0.5, 'ridge': 0.75}",0.5329,81.58,2.13,76.25,228
ensemble,"{'lg': 0.0, 'hm': 0.0, 'cm': 0.5, 'ridge': 0.75}",0.3662,79.39,1.46,75.72,228
ensemble,"{'lg': 0.0, 'hm': 0.0, 'cm': 0.75, 'ridge': 0.75}",0.5022,80.26,2.01,75.24,228
ensemble,"{'lg': 0.25, 'hm': 0.25, 'cm': 0.25, 'ridge': 0.75}",0.5296,79.39,2.12,74.09,228
ensemble,"{'lg': 0.5, 'hm': 0.25, 'cm': 0.0, 'ridge': 0.75}",0.5384,78.95,2.15,73.56,228
ensemble,"{'lg': 0.25, 'hm': 0.0, 'cm': 0.25, 'ridge': 0.75}",0.3783,77.19,1.51,73.41,228
ensemble,"{'lg': 0.25, 'hm': 0.0, 'cm': 0.5, 'ridge': 0.75}",0.5121,78.51,2.05,73.39,228
ensemble,"{'lg': 0.5, 'hm': 0.0, 'cm': 0.25, 'ridge': 0.75}",0.5154,77.19,2.06,72.04,228
ensemble,"{'lg': 0.5, 'hm': 0.0, 'cm': 0.0, 'ridge': 0.75}",0.3805,75.0,1.52,71.2,228
ensemble,"{'lg': 0.75, 'hm': 0.0, 'cm': 0.0, 'ridge': 0.75}",0.5318,74.56,2.13,69.24,228
ensemble,"{'lg': 0.0, 'hm': 0.75, 'cm': 0.0, 'ridge': 0.5}",0.4726,71.93,1.89,67.2,228
ensemble,"{'lg': 0.5, 'hm': 0.0, 'cm': 0.0, 'ridge': 1.0}",0.6118,73.25,2.45,67.13,228
ensemble,"{'lg': 0.0, 'hm': 0.0, 'cm': 0.5, 'ridge': 1.0}",0.6239,73.25,2.5,67.01,228
ensemble,"{'lg': 0.5, 'hm': 0.0, 'cm': 0.5, 'ridge': 0.75}",0.5329,71.93,2.13,66.6,228
ensemble,"{'lg': 0.25, 'hm': 0.0, 'cm': 0.25, 'ridge': 1.0}",0.6261,72.81,2.5,66.55,228
ensemble,"{'lg': 0.0, 'hm': 0.5, 'cm': 0.25, 'ridge': 0.5}",0.4879,71.05,1.95,66.17,228
ensemble,"{'lg': 0.25, 'hm': 0.0, 'cm': 0.75, 'ridge': 0.75}",0.5439,71.49,2.18,66.05,228
ensemble,"{'lg': 0.75, 'hm': 0.0, 'cm': 0.25, 'ridge': 0.75}",0.5395,70.61,2.16,65.22,228
