tree_id,source,split,n_dets,n_sides,naive_B1,naive_B2,naive_B3,naive_B4,naive_total,corrected_B1,corrected_B2,corrected_B3,corrected_B4,corrected_total,adaptive_corrected_B1,adaptive_corrected_B2,adaptive_corrected_B3,adaptive_corrected_B4,adaptive_corrected_total,density_scaled_vis_B1,density_scaled_vis_B2,density_scaled_vis_B3,density_scaled_vis_B4,density_scaled_vis_total,side_coverage_B1,side_coverage_B2,side_coverage_B3,side_coverage_B4,side_coverage_total,hybrid_vis_corr_B1,hybrid_vis_corr_B2,hybrid_vis_corr_B3,hybrid_vis_corr_B4,hybrid_vis_corr_total,visibility_B1,visibility_B2,visibility_B3,visibility_B4,visibility_total,best_visibility_grid_B1,best_visibility_grid_B2,best_visibility_grid_B3,best_visibility_grid_B4,best_visibility_grid_total,adaptive_visibility_B1,adaptive_visibility_B2,adaptive_visibility_B3,adaptive_visibility_B4,adaptive_visibility_total,class_aware_vis_B1,class_aware_vis_B2,class_aware_vis_B3,class_aware_vis_B4,class_aware_vis_total,relaxed_match_B1,relaxed_match_B2,relaxed_match_B3,relaxed_match_B4,relaxed_match_total,v6_selector_B1,v6_selector_B2,v6_selector_B3,v6_selector_B4,v6_selector_total,v7_stacking_density_B1,v7_stacking_density_B2,v7_stacking_density_B3,v7_stacking_density_B4,v7_stacking_density_total,v7_stacking_bracketed_B1,v7_stacking_bracketed_B2,v7_stacking_bracketed_B3,v7_stacking_bracketed_B4,v7_stacking_bracketed_total,_err_v7_ordinal_b3,v7_ordinal_b3_B1,v7_ordinal_b3_B2,v7_ordinal_b3_B3,v7_ordinal_b3_B4,v7_ordinal_b3_total,v8_entropy_modulated_B1,v8_entropy_modulated_B2,v8_entropy_modulated_B3,v8_entropy_modulated_B4,v8_entropy_modulated_total,v8_entropy_stacking_B1,v8_entropy_stacking_B2,v8_entropy_stacking_B3,v8_entropy_stacking_B4,v8_entropy_stacking_total,v8_b2_b4_boosted_B1,v8_b2_b4_boosted_B2,v8_b2_b4_boosted_B3,v8_b2_b4_boosted_B4,v8_b2_b4_boosted_total,v8_floor_anchor_50_B1,v8_floor_anchor_50_B2,v8_floor_anchor_50_B3,v8_floor_anchor_50_B4,v8_floor_anchor_50_total,v8_per_side_median_B1,v8_per_side_median_B2,v8_per_side_median_B3,v8_per_side_median_B4,v8_per_side_median_total,v8_side_agreement_B1,v8_side_agreement_B2,v8_side_agreement_B3,v8_side_agreement_B4,v8_side_agreement_total,v8_multi_consensus_B1,v8_multi_consensus_B2,v8_multi_consensus_B3,v8_multi_consensus_B4,v8_multi_consensus_total,v9_selector_B1,v9_selector_B2,v9_selector_B3,v9_selector_B4,v9_selector_total,v9_b2_median_v6_B1,v9_b2_median_v6_B2,v9_b2_median_v6_B3,v9_b2_median_v6_B4,v9_b2_median_v6_total,v9_median_strong5_B1,v9_median_strong5_B2,v9_median_strong5_B3,v9_median_strong5_B4,v9_median_strong5_total
DAMIMAS_A21B_0021,json,train,21,4,6,0,9,6,21,3,0,5,4,12,3,0,5,4,12,3,0,5,3,11,3,0,5,3,11,3,0,5,3,11,3,0,5,3,11,3,0,5,3,11,4,0,5,3,12,3,0,6,3,12,1,0,1,1,3,3,0,5,4,12,3,0,5,4,12,3,0,5,4,12,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,3,0,5,4,12,3,0,5,4,12,3,0,5,3,11,3,0,4,3,10,2,0,3,2,7,3,0,4,3,10,2,0,3,2,7,3,0,5,4,12,3,0,5,4,12,3,0,5,3,11
DAMIMAS_A21B_0022,json,train,16,4,0,2,10,4,16,0,1,6,2,9,0,1,5,2,8,0,1,5,2,8,0,1,5,2,8,0,1,5,2,8,0,1,5,2,8,0,1,6,2,9,0,1,6,2,9,0,1,6,2,9,0,1,1,1,3,0,1,5,2,8,0,1,5,2,8,0,1,5,2,8,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,1,5,3,9,0,1,5,3,9,0,1,5,2,8,0,1,5,2,8,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,5,2,8,0,1,5,2,8,0,1,5,2,8
DAMIMAS_A21B_0023,json,train,16,4,2,6,8,0,16,1,3,4,0,8,1,3,4,0,8,1,3,4,0,8,1,3,4,0,8,1,3,4,0,8,1,3,4,0,8,1,3,5,0,9,1,3,4,0,8,1,4,5,0,10,1,1,1,0,3,1,4,5,0,10,1,3,4,0,8,1,3,4,0,8,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,3,4,0,8,1,3,4,0,8,1,3,4,0,8,1,3,4,0,8,1,2,3,0,6,1,3,3,0,7,1,2,3,0,6,1,4,5,0,10,1,3,5,0,9,1,3,4,0,8
DAMIMAS_A21B_0024,json,train,20,4,3,0,11,6,20,2,0,6,4,12,2,0,6,4,12,2,0,6,3,11,2,0,6,3,11,2,0,6,3,11,2,0,6,3,11,2,0,6,3,11,2,0,6,4,12,2,0,7,3,12,1,0,1,1,3,2,0,6,4,12,2,0,6,4,12,2,0,6,4,12,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,2,0,6,4,12,2,0,6,4,12,2,0,6,3,11,2,0,5,3,10,1,0,4,2,7,1,0,5,3,9,1,0,4,2,7,2,0,6,4,12,2,0,6,4,12,2,0,6,3,11
DAMIMAS_A21B_0025,json,train,12,4,3,2,7,0,12,2,1,4,0,7,1,1,4,0,6,2,1,4,0,7,2,1,4,0,7,2,1,4,0,7,2,1,4,0,7,2,1,4,0,7,2,1,4,0,7,2,1,4,0,7,1,1,1,0,3,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,2,1,4,0,7,2,1,4,0,7,1,1,4,0,6,1,1,3,0,5,1,1,2,0,4,1,1,4,0,6,1,1,2,0,4,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6
DAMIMAS_A21B_0026,json,train,13,4,0,2,8,3,13,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,5,2,8,0,1,4,2,7,0,1,5,2,8,0,1,1,1,3,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,3,1,5,0,1,3,2,6,0,1,3,1,5,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7
DAMIMAS_A21B_0027,json,train,21,4,7,0,11,3,21,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,7,2,13,1,0,1,1,3,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,3,0,5,2,10,2,0,3,2,7,3,0,6,2,11,2,0,3,2,7,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12
DAMIMAS_A21B_0028,json,train,21,4,0,1,11,9,21,0,1,6,5,12,0,1,6,6,13,0,1,6,5,12,0,1,6,5,12,0,1,6,5,12,0,1,6,5,12,0,1,6,5,12,0,1,6,5,12,0,1,7,5,13,0,1,1,1,3,0,1,6,6,13,0,1,6,5,12,0,1,6,5,12,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,1,6,6,13,0,1,6,6,13,0,1,6,5,12,0,1,5,4,10,0,1,4,3,8,0,1,5,5,11,0,1,4,3,8,0,1,6,6,13,0,1,6,6,13,0,1,6,5,12
DAMIMAS_A21B_0029,json,train,23,4,2,6,10,5,23,1,3,6,3,13,1,3,6,3,13,1,3,5,3,12,1,3,5,3,12,1,3,5,3,12,1,3,5,3,12,1,3,6,3,13,1,4,6,3,14,1,4,6,3,14,1,1,1,1,4,1,3,6,3,13,1,3,6,3,13,1,3,6,3,13,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,3,6,3,13,1,3,6,3,13,1,3,6,3,13,1,3,4,3,11,1,2,3,2,8,1,3,5,2,11,1,2,3,2,8,1,3,6,3,13,1,3,6,3,13,1,3,6,3,13
DAMIMAS_A21B_0030,json,train,13,4,0,0,9,4,13,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,6,2,8,0,0,1,1,2,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,4,2,6,0,0,3,2,5,0,0,4,2,6,0,0,3,2,5,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7
