tree_id,split,selected_method_v6,selected_method_v9,selector_reason_v9,unstable_gate,total_det,B1_naive,B2_naive,B3_naive,B4_naive,B2_ratio,B3_ratio,B4_ratio,B3_yrange,B4_yrange,pred_B1,pred_B2,pred_B3,pred_B4,gt_B1,gt_B2,gt_B3,gt_B4,ok,error_sum
DAMIMAS_A21B_0010,train,adaptive_corrected,adaptive_corrected,v6_default,False,22,0,5,11,6,2.5,3.6667,3.0,0.049,0.0457,0,3,6,4,0,2,6,3,True,2
DAMIMAS_A21B_0253,train,adaptive_corrected,adaptive_corrected,v6_default,False,11,0,4,7,0,2.0,2.3333,0.0,0.068,0.0,0,2,4,0,0,2,4,0,True,0
DAMIMAS_A21B_0586,train,adaptive_corrected,adaptive_corrected,v6_default,False,15,0,6,5,4,3.0,2.5,2.0,0.0408,0.0633,0,3,3,2,0,3,4,2,True,1
DAMIMAS_A21B_0011,train,adaptive_corrected,adaptive_corrected,v6_default,False,14,2,1,10,1,1.0,2.5,1.0,0.0862,0.0,1,1,5,1,1,1,4,1,True,1
DAMIMAS_A21B_0254,train,adaptive_corrected,adaptive_corrected,v6_default,False,20,0,5,9,6,2.5,3.0,2.0,0.2265,0.0652,0,3,5,4,0,2,6,3,True,3
DAMIMAS_A21B_0587,train,adaptive_corrected,adaptive_corrected,v6_default,False,5,5,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,True,1
DAMIMAS_A21B_0012,train,adaptive_corrected,adaptive_corrected,v6_default,False,16,3,2,7,4,2.0,3.5,2.0,0.1196,0.0804,1,1,4,2,1,2,4,2,True,1
DAMIMAS_A21B_0255,train,adaptive_corrected,adaptive_corrected,v6_default,False,17,1,3,11,2,3.0,3.6667,2.0,0.2096,0.0735,0,2,6,1,1,2,6,1,True,1
DAMIMAS_A21B_0588,train,adaptive_corrected,adaptive_corrected,v6_default,False,21,6,6,6,3,3.0,3.0,3.0,0.0662,0.0281,3,3,3,2,4,3,3,2,True,1
DAMIMAS_A21B_0013,train,adaptive_corrected,adaptive_corrected,v6_default,False,17,0,2,8,7,2.0,2.6667,3.5,0.0932,0.0803,0,1,4,4,0,1,4,4,True,0
DAMIMAS_A21B_0256,train,adaptive_corrected,adaptive_corrected,v6_default,False,3,0,0,3,0,0.0,3.0,0.0,0.0611,0.0,0,0,1,0,0,0,2,0,True,1
