tree_id,split,B1_gt,B1_naive,B1_err,B2_gt,B2_naive,B2_err,B3_gt,B3_naive,B3_err,B4_gt,B4_naive,B4_err,total_gt,total_naive,MAE_overall
DAMIMAS_A21B_0262,train,2,4,2,2,3,1,7,14,7,2,3,1,13,24,2.75
DAMIMAS_A21B_0595,train,3,5,2,4,8,4,6,11,5,0,0,0,13,24,2.75
DAMIMAS_A21B_0020,train,1,2,1,1,2,1,4,7,3,3,5,2,9,16,1.75
DAMIMAS_A21B_0263,train,0,0,0,7,14,7,3,5,2,1,2,1,11,21,2.5
DAMIMAS_A21B_0596,train,0,0,0,2,4,2,8,14,6,4,5,1,14,23,2.25
DAMIMAS_A21B_0021,train,3,6,3,0,0,0,5,9,4,4,6,2,12,21,2.25
DAMIMAS_A21B_0264,train,3,6,3,2,3,1,7,13,6,0,0,0,12,22,2.5
DAMIMAS_A21B_0597,train,0,0,0,0,0,0,8,15,7,0,0,0,8,15,1.75
DAMIMAS_A21B_0022,train,0,0,0,1,2,1,5,10,5,2,4,2,8,16,2.0
DAMIMAS_A21B_0265,train,1,2,1,2,3,1,8,15,7,1,2,1,12,22,2.5
DAMIMAS_A21B_0598,train,1,2,1,3,6,3,5,9,4,1,2,1,10,19,2.25
DAMIMAS_A21B_0023,train,1,2,1,3,6,3,5,8,3,0,0,0,9,16,1.75
DAMIMAS_A21B_0266,train,2,4,2,1,2,1,9,15,6,0,0,0,12,21,2.25
DAMIMAS_A21B_0599,train,3,6,3,4,6,2,6,10,4,2,2,0,15,24,2.25
DAMIMAS_A21B_0024,train,1,3,2,0,0,0,6,11,5,3,6,3,10,20,2.5
DAMIMAS_A21B_0267,train,1,3,2,5,8,3,4,7,3,2,3,1,12,21,2.25
DAMIMAS_A21B_0600,train,3,5,2,2,4,2,7,12,5,4,7,3,16,28,3.0
DAMIMAS_A21B_0025,train,1,3,2,1,2,1,5,7,2,0,0,0,7,12,1.25
DAMIMAS_A21B_0268,train,2,4,2,6,8,2,5,7,2,6,9,3,19,28,2.25
DAMIMAS_A21B_0601,train,0,0,0,0,0,0,5,10,5,1,1,0,6,11,1.25
DAMIMAS_A21B_0026,train,0,0,0,1,2,1,4,8,4,2,3,1,7,13,1.5
DAMIMAS_A21B_0269,train,0,0,0,0,0,0,5,11,6,0,0,0,5,11,1.5
DAMIMAS_A21B_0602,train,4,7,3,4,7,3,5,8,3,3,4,1,16,26,2.5
DAMIMAS_A21B_0027,train,3,7,4,0,0,0,6,11,5,2,3,1,11,21,2.5
DAMIMAS_A21B_0270,train,1,2,1,2,3,1,7,11,4,0,0,0,10,16,1.5
DAMIMAS_A21B_0603,train,2,4,2,4,7,3,3,6,3,1,1,0,10,18,2.0
DAMIMAS_A21B_0028,train,0,0,0,1,1,0,5,11,6,6,9,3,12,21,2.25
DAMIMAS_A21B_0271,train,0,0,0,6,9,3,6,10,4,3,3,0,15,22,1.75
DAMIMAS_A21B_0604,train,0,0,0,3,6,3,2,4,2,1,2,1,6,12,1.5
DAMIMAS_A21B_0029,train,1,2,1,2,6,4,5,10,5,2,5,3,10,23,3.25
DAMIMAS_A21B_0272,train,1,2,1,1,3,2,5,9,4,2,3,1,9,17,2.0
DAMIMAS_A21B_0605,train,2,3,1,2,4,2,6,10,4,3,4,1,13,21,2.0
DAMIMAS_A21B_0030,train,0,0,0,0,0,0,5,9,4,3,4,1,8,13,1.25
DAMIMAS_A21B_0273,train,0,0,0,1,2,1,6,14,8,0,0,0,7,16,2.25
DAMIMAS_A21B_0606,train,1,1,0,5,7,2,4,7,3,4,7,3,14,22,2.0
DAMIMAS_A21B_0031,train,0,0,0,1,2,1,4,8,4,2,3,1,7,13,1.5
DAMIMAS_A21B_0274,train,0,0,0,1,1,0,8,15,7,3,4,1,12,20,2.0
DAMIMAS_A21B_0607,train,4,8,4,4,8,4,4,7,3,1,2,1,13,25,3.0
DAMIMAS_A21B_0032,train,2,4,2,1,2,1,5,10,5,3,6,3,11,22,2.75
DAMIMAS_A21B_0275,train,3,5,2,4,6,2,8,13,5,2,2,0,17,26,2.25
DAMIMAS_A21B_0608,train,0,0,0,2,3,1,8,14,6,3,5,2,13,22,2.25
