method,acc,mae
M13_stack_bracket,94.3,0.2643
M14_stack_density,94.3,0.2708
v7_combined,93.86,0.2697
adaptive_bracketed,93.86,0.2708
b3_quadratic_bracketed,93.86,0.2741
M19_divide_adaptive_v5,93.86,0.2774
b3_quadratic,93.86,0.2807
M06_weight_visibility_v5,92.54,0.2664
v7_combined_ordinal,92.11,0.2971
LOTO_M19_divide_adaptive,91.67,0.2862
M21_ordinal_b3_modulated,91.23,0.2939
merged_b23_diagnostic,46.05,0.8629
